"scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a1",456940.170805499,710809.88843377,578758.91993031,45112.2757607743,70176.0399922438,57139.0603476131,29946670.2443562,38321742.9098875,34102043.7970866,404730481.525211,470409528.675644,422135237.026797,285420.3598677,447956.485831232,362906.550317892,28178.6605878691,44225.3446047924,35828.6301343831,8898026.07137831,13835897.5707034,11266412.7089388,5580716.22744921,8754689.69057333,7094858.63710533,660396.907065831,1035986.49226389,839576.353507829,11558362.5559697,15074289.5413187,13329046.7617073,7981105.89219956,10626494.580031,9292216.83693517,0,0,0,903.504010605381,1648.12884719819,1163.20644159501,46.2301344570792,84.2919635228713,59.4987523527355,1.89342495435928e-07,3.87560507521776e-07,2.72267444781182e-07
"a3_1",258606.929897089,401929.687676283,327697.975230513,25531.4544015667,39681.2625927179,32352.5974938607,30281864.9869864,38379138.2763652,34373285.7711405,358986251.141498,413902931.731485,373765175.518807,485771.645756528,754963.589123199,615440.186829074,47958.7172244081,74535.1969423734,60760.4872505587,5295835.3939385,8244447.50447224,6711384.86913302,9223891.83903918,14314646.4056287,11679036.3912875,1091679.53306121,1694210.80574741,1382269.50462136,18705451.6123327,23766821.4397833,21261592.3741913,14322049.0569212,18263333.6912447,16312910.0583477,0,0,0,475.501410019546,852.052472282287,607.313567618248,25.0782478986237,44.8729168722126,32.0030833877384,2.04390665780572e-07,4.03606181112165e-07,2.89461003671642e-07
"a4",258398.638646549,403029.724238306,327447.469030866,25510.8904570215,39789.8657664012,32327.8657992532,30275099.2192027,38481311.1745859,34433122.7930214,393012776.066495,454675841.428249,409791774.708242,484992.131224035,755492.176888674,615131.411531332,47881.7581895143,74587.3827613568,60730.0028299062,5285194.09625031,8261736.26671166,6706105.08948489,9206188.48709992,14324620.6305061,11672843.3900854,1089590.70187172,1695400.83579022,1381536.16699289,18697774.1912573,23834095.8170955,21299210.7436827,14317308.0829764,18319234.6568198,16343272.8240568,893513.445055032,1144854.7090979,1020682.90844059,520.207605173399,937.491171827319,666.185740195076,27.4361734390037,49.3880656544627,35.1064227466898,2.03486691899662e-07,4.04054605195696e-07,2.88804791376496e-07
"a2",118177.863513665,249853.544303091,175108.104403736,11667.3313231568,24667.2599840334,17287.8761783679,20009301.3291297,28394532.2071711,24092296.9761922,276732894.503169,348579965.037042,295769757.10321,72407.7850011766,155126.513550738,108401.04084504,7148.59443949029,15315.156128147,10702.0961600638,2659826.00813957,5512149.73985405,3906467.86354256,1634699.34628791,3451691.14769514,2430551.07414068,193449.547594614,408464.702765584,287619.785640426,9090217.78201544,12643911.0047823,10846166.2491919,6541171.614252,9118937.89060214,7822960.0832158,0,0,0,1783.91745014405,4814.12274980347,2728.47709576898,80.1731333024847,213.237966864428,121.688353003559,5.72669207919843e-08,1.70652141973593e-07,9.99441077653747e-08
"a5_1",105123.33633639,208404.452193267,150283.165257285,10378.498632195,20575.120590826,14836.9874798652,23069083.7850703,31602716.7800227,27199082.2055804,279742959.27304,340670507.863585,296039645.322294,85390.8793701553,200570.484127739,132798.387250945,8430.37479241713,19801.6973939768,13110.7699629254,2377021.74492264,4675013.93382464,3382489.85327937,1918980.39076738,4362028.72135735,2946433.8488084,227103.207109048,516214.260046978,348689.251881452,14119412.4447569,19345155.6881158,16663068.2438546,10851268.4524604,14863751.5138775,12807774.2455355,0,0,0,1394.73642141122,3989.54209602217,2229.241269044,64.1313886594473,177.526831176923,100.473881482871,4.41407041363916e-08,1.42052996123234e-07,7.96962391964768e-08
"a5_2",105709.135971354,209079.246992374,150310.623521818,10436.3328003455,20641.740973546,14839.6983485536,6786802.88707531,13234680.6297306,9224501.6246998,118503230.866917,172863645.922319,131210761.454261,85415.0017759261,199692.455705806,132797.742152168,8432.75632218989,19715.0123904977,13110.7062743381,2387377.7599637,4694306.31225806,3383394.41515252,1919392.11720039,4357806.42307813,2946921.81886241,227149.327978191,515704.249866933,348743.828246055,3733875.88502506,7655140.81899231,5214434.56585494,2709271.87514347,5692540.25271854,3825377.87146208,0,0,0,593.428682360937,2023.80896011454,988.049640963865,27.1933214470807,90.0616629469419,44.5246835577443,1.1157861598576e-07,5.34812783967152e-07,2.54673331259637e-07
