"scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a1",844941.751800093,1313442.65373253,1070001.15602949,83418.4598867812,129672.090520503,105637.871868561,65607639.4540964,81619845.598989,73466711.7852919,881254900.078777,1011056406.68433,915448086.178027,704441.719646663,1101968.86198987,894027.476314429,69547.330579568,108793.943623386,88264.5401434253,16580469.0226568,25727548.8751642,20985792.8518721,13936251.1502482,21768701.845726,17677958.5820384,1647624.00479306,2573704.49577285,2090014.62125512,24597971.977388,31029189.8903997,27776731.0862988,17371916.874258,22308839.1083162,19779818.0225044,0,0,0,799.709438692719,1435.25912575346,1023.95967733777,40.4826574558373,72.5486643275888,51.7847172188856,2.27025495069278e-07,4.47991754362056e-07,3.21862019521591e-07
"a3_1",454495.132407316,710836.416561913,577065.477156434,44870.8847570678,70178.6590314718,56971.8720322029,65837913.2712063,81612730.2451607,73786881.5630326,851063286.140597,969767616.499855,882981856.690546,1094547.03052645,1709897.74214945,1388750.63534079,108061.209385909,168812.863028858,137107.012311928,9365512.20490497,14656907.10705,11889795.6739691,21152358.326406,33041612.6655109,26807420.806874,2501289.54119785,3907183.71583467,3170061.4414726,40337724.2248847,49981192.0264297,45191745.4678221,31324277.6478972,38887856.3323409,35131158.1376226,0,0,0,497.727592218909,885.999038372447,635.810226991449,25.7573168342641,45.8467846249192,32.9379638217239,2.18991781938227e-07,4.23895441551609e-07,3.07301835980117e-07
"a4",454339.448311802,710757.738649012,576925.822147535,44855.5145526142,70170.8914068903,56958.0843294021,66019977.8704281,81819443.9659896,73893223.3633274,924089739.0497,1054733100.3834,959168608.215349,1093730.33139038,1711510.93305681,1389310.06217435,107980.579231254,168972.128328161,137162.242775775,9346793.95314278,14667004.1340681,11886123.3469115,21050823.7175215,33000536.7225287,26816524.670952,2489421.92283166,3902419.86426603,3171127.51449574,40474209.7518193,50122392.2207533,45256608.9852927,31435249.0501453,38998885.3839901,35183140.9067741,1937046.47521311,2384753.41860973,2158366.41471233,539.926284548618,964.344747614878,690.392040142712,28.0022639273877,50.1041248806571,35.7678192825013,2.18211917454635e-07,4.22864570686244e-07,3.06985011321959e-07
"a2",222080.838090286,469650.244255146,329009.201878279,21925.347450744,46367.1016111463,32482.0508050341,41150643.9211299,57635913.6155257,49061970.9660182,560861730.395378,705959746.258978,598641397.978637,191610.68983949,399478.13573751,281597.817581281,18917.1248908003,39439.2285274948,27801.272928062,5068406.94404045,10495562.152498,7439816.36290796,4418599.53778508,9038614.29922633,6430944.1461434,522525.253278135,1068756.4807381,760460.180402137,17171259.4912929,23840188.9278309,20413318.2073057,12455012.8217136,17344772.4859698,14856606.570884,0,0,0,1403.98605135153,3684.34426518872,2125.87371280263,62.0517384443969,159.770022203201,93.0876375808114,8.03729745680849e-08,2.32643467964639e-07,1.37948086010093e-07
"a5_1",186758.111273727,363896.449276448,264830.947702897,18438.0449665652,35926.3597665031,26145.9322381303,47426799.7005458,63871358.8524348,55398757.6042745,617892249.289765,750474172.707488,653254711.290038,223246.432088072,504200.395369505,342102.04018277,22040.4229052843,49778.130109472,33774.6658339168,4283999.73132327,8269289.0850231,6046537.32700193,5127933.00483788,11233039.7813804,7742270.72417054,606508.593947339,1328442.21379409,915644.539597313,28146726.2764839,38189248.2812221,33015989.8752506,21830367.8817916,29639161.6149222,25623150.458732,0,0,0,1225.48941842249,3361.64016458468,1909.53176116995,55.0066821906896,146.35022961483,84.3750799427158,5.84579278555328e-08,1.79132873363946e-07,1.03617078111359e-07
"a5_2",187085.952324522,363128.087609273,264803.779976962,18470.4116894625,35850.5018191651,26143.2500534102,16125474.5138829,29177222.4217714,21296838.1488142,277533762.193069,399689035.039057,306942665.866856,224055.949434102,500999.691473841,342595.254904399,22120.3440242415,49462.1346116036,33823.3593827729,4294563.09412519,8267354.92686363,6046483.68917191,5154330.47410796,11153270.4020109,7754295.94626809,609602.071491965,1319009.01825924,917039.333371682,8635554.18022023,16643804.7701576,11820651.0510901,6442002.33248346,12647262.8346825,8895501.58862669,0,0,0,553.959946315776,1783.88048185532,895.9337920559,24.8836217709768,77.5443167734078,39.5835634845197,1.34618227339361e-07,5.80159282216516e-07,2.89827737426362e-07
