"scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a1",836839.405206087,1325984.8324888,1070790.23986141,82618.5405161252,130910.340652236,105715.775650496,65790968.9901891,81282493.4197364,73506674.5887358,881981766.200965,1007834996.27956,915790906.050422,698897.233132266,1117983.99210486,896758.708654976,68999.9407448146,110375.067394619,88534.1861811031,16420743.7855484,25996147.1614657,20998541.3113174,13834083.3679144,22096999.6883171,17728667.0718725,1635529.43288806,2612406.81400301,2095999.45505091,24745391.7696308,30927321.2563303,27792026.4278776,17372851.1979632,22194473.6786782,19792549.9297408,0,0,0,788.903752137304,1442.0360369188,1021.22332040019,39.9140959696569,72.8515919325056,51.6559368133985,2.25980526195495e-07,4.51794824067777e-07,3.22667622306036e-07
"a2",222291.860933201,473619.408070857,329005.786930655,21946.1810768719,46758.964756552,32481.7136579222,41034960.9629274,57860254.7740647,49288476.0219394,562907692.555741,707773127.040056,600772982.738568,190639.302765811,404671.578124963,281446.742740189,18821.2228792503,39951.9608721198,27786.3577808999,5072508.22441141,10583329.2151977,7441049.04255223,4391929.79783344,9131036.21630179,6428981.06459316,519399.630984218,1079660.16253969,760231.428131456,17181585.5342332,23901270.9930001,20526919.6758659,12428923.6418608,17469241.6170203,14933145.7828062,0,0,0,1391.02354349658,3712.62964546987,2134.58850825343,61.6477340820063,161.153105723412,93.4476205019879,7.976115697849e-08,2.35526329813207e-07,1.37111045974957e-07
"a3_1",454039.440243021,708234.118845941,577090.45796879,44825.8956930916,69921.742306537,56974.3383097765,65964258.1727515,81518762.1929367,73660445.7514017,848838534.796674,968320245.888912,881832487.831959,1097243.30372776,1706560.56321421,1389057.57692563,108327.404016968,168483.393776626,137137.315695833,9336039.84903221,14605245.5507054,11889754.0779817,21158968.5822434,32933026.4698436,26813249.0629405,2502004.13068339,3894299.60607681,3170761.84921706,40375447.0255014,49911266.8787658,45116155.4787411,31352073.7033559,38841080.8675126,35070915.3989722,0,0,0,497.397252165453,882.502761784147,634.842286223802,25.7746895984171,45.764057077032,32.8879385620883,2.19838800404117e-07,4.22672859110719e-07,3.07884739332489e-07
"a3_2",564701.215228404,885332.231509701,718813.582785149,55751.1870731797,87406.0857844075,70966.2197351363,55551041.3204439,68820694.8685026,62065215.5528979,722334123.712454,824078000.599455,749147243.315214,973518.704407767,1537852.01296422,1243650.15763957,96112.4607934915,151827.325590147,122781.695385779,11447956.0937812,17963779.8501923,14578046.0050332,18852048.444464,29720890.8720418,24053550.0662564,2229381.01737093,3514480.3952819,2844386.27396551,34185335.189178,42281823.2697311,38157139.488021,25179926.2914343,31208382.687742,28135349.2156276,0,0,0,469.703272891746,846.494265460238,602.377797898635,24.303918978147,43.7129154970663,31.1449761574346,2.30245204469386e-07,4.49857228093249e-07,3.25928561293227e-07
"a3_3",335928.453889714,523670.594911115,426295.087023603,33165.1669430788,51700.3620929067,42086.7823622755,77176617.9960213,95962343.3148953,86684710.9000712,992435279.027966,1130967736.10527,1029055781.4422,1219752.4423915,1905713.58421746,1547368.08438592,120422.348606477,188145.149463924,152766.817597116,7108622.87132614,11105980.1359268,9032967.28637958,23509696.0683147,36759181.7010557,29824904.498071,2780147.31798051,4346673.77658855,3526863.07598164,46928263.1837572,58352378.2781807,52705388.4777021,38524198.2873011,47980676.5460795,43300911.16494,0,0,0,520.768329116723,927.210880502811,665.036193925755,26.9982962923101,48.1064379913246,34.5032381078959,2.0903217287505e-07,4.06090797938812e-07,2.93588213478506e-07
"a4",457151.151585638,715241.011925124,578846.319966,45133.1052341757,70613.5109734439,57147.6890801331,65843712.8761795,81440304.3029289,73855793.0758424,923263443.248317,1050086874.29314,958660231.815593,1103828.53029195,1720731.24983561,1393766.50568702,108977.542865971,169882.42140306,137602.213523589,9407474.87570241,14747879.3671901,11928741.8653167,21284054.1764284,33197080.9240707,26909326.5628936,2516827.12341229,3925457.84901935,3182042.71439769,40342987.6880466,49863632.4517309,45233106.0562877,31323381.4372533,38797754.1322073,35164059.2661784,1928540.17357824,2374408.02960004,2157546.04060282,536.552958712478,951.313401924302,687.819823409408,27.8115851619615,49.3367882635858,35.6255750055644,2.21369458264093e-07,4.26525487686044e-07,3.08129736647452e-07
"a5_1",188614.001139603,363423.923302389,265870.628524761,18621.271175947,35879.7087530711,26248.5766781157,47347292.4623877,64027666.1731435,55408916.992334,617234037.479119,751580488.316859,653434549.010323,227153.837540139,504495.437447201,344831.654203039,22426.1888403565,49807.2586922066,34044.1520998885,4326696.18555387,8276150.88674506,6071605.35262637,5207701.62877162,11251027.8877138,7805831.52320421,615948.519612661,1330554.92374757,923143.170278258,28108286.4816352,38268613.1558349,33019033.377618,21803821.5573334,29702622.9032653,25626561.1107246,0,0,0,1223.46802699027,3308.68497074829,1894.93783719048,54.8602353170897,144.320958052687,83.7110751196555,5.93577396220602e-08,1.794828147126e-07,1.04434206252925e-07
"a5_2",187043.001303362,363631.623213937,265472.51072208,18466.1712693057,35900.2143165647,26209.2717510217,16092839.5091356,28662665.2645639,21116772.5771069,277601502.719571,395030871.222934,305058823.576187,224805.149157892,502726.948197567,342646.625755063,22194.3101727636,49632.6612726608,33828.4310663964,4285332.89598981,8278226.59357409,6061341.08818677,5169775.57247757,11216349.4621762,7756906.90108282,611481.300249381,1326417.13351595,917353.419987994,8603967.46417071,16373237.5505025,11712141.4287693,6409458.0321311,12441113.1561231,8807494.47824867,0,0,0,552.191410694928,1757.21451533783,890.301554565008,24.7497194747452,76.4116093019526,39.3273797747402,1.37300364979431e-07,5.84296663476542e-07,2.92556769262875e-07
