"year","cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"americas","a1",1313.06679480635,2596.072501679,1903.91953248933,129.634983142758,256.302128972935,187.968028340724,16939.9202029913,27771.2493281335,22215.4006045425,1204161.54421737,1628980.02334994,1309560.85941205,410.017282175359,824.242746365637,600.611020973064,40.4797255351212,81.3749117358562,59.2964500261244,82000.4438299952,162123.58593983,118898.937432766,25605.3989403535,51473.5969967197,37507.8941024027,3489.33493734403,7014.48240544152,5111.32849843841,5115.75930857751,8352.95035071867,6711.9349415679,3342.27478748955,5522.40136755183,4395.76536070334,0,0,0,1460.93071431556,3972.95454159234,2180.38100148478,23.3937710685753,63.6186152437839,34.9142731350561,4.90865221221005e-07,1.61118359298813e-06,8.94840349618708e-07
2020,"americas","a3_1",1306.54126698689,2585.13966429638,1901.64576346672,128.990738164347,255.222764088069,187.743546227488,17311.5369072592,27346.4428876563,22192.4583085428,1201846.84950124,1610592.91367136,1307479.27748316,412.352462941988,815.04868124423,600.271902897292,40.7102706380167,80.4672104050927,59.2629699577761,81592.9274876911,161440.835053704,118756.94155734,25751.2299521834,50899.4316735699,37486.7163277198,3509.20782609345,6936.23894098525,5108.44253094115,5230.38760869516,8262.26445333745,6705.07532435278,3425.38084493446,5410.9569904907,4391.15382991864,0,0,0,1474.57063259895,3905.86466291568,2178.14505588623,23.6121860300714,62.54431018099,34.8784691103055,4.9907923580856e-07,1.55829499115757e-06,8.95250051430607e-07
2020,"americas","a5_2",866.994197179767,3691.96347298262,1903.70081823046,85.5956289358792,364.496021433827,187.946435365123,10227.308297326,39795.2432794271,20687.8169999601,1017746.46631829,2433431.4333319,1267117.50002909,273.892943615226,1164.90651361569,600.944005671956,27.0405947884142,115.00758137573,59.3293245653317,54143.4062973592,230561.49510913,118885.278823493,17104.493866715,72747.8994326614,37528.688850397,2330.88764497459,9913.60406842661,5114.16226958405,3090.00794529156,12023.4586015551,6250.47344249203,2023.64620337144,7874.16303815844,4093.43505748803,0,0,0,873.672225558564,8884.60798300255,2108.545035926,13.9900460941881,142.268543711036,33.7639693483639,2.27798799573195e-07,3.76991429873421e-06,9.61437579410565e-07
2020,"asia","a1",18583.2626288994,36058.8497279021,26801.7721567924,1834.66747248765,3559.97759985488,2646.0552467586,2913863.23252059,4109393.98815306,3515367.31505802,45456525.4648651,56951817.8067277,48423303.5394414,22630.5913001661,43523.7337449207,32621.0203926691,2234.24758992581,4296.96228146932,3220.57144802516,1160516.5779886,2251859.30630677,1673758.88338682,1413270.47343584,2718038.03000623,2037168.37632826,192591.181663047,370396.301234099,277611.874172832,1188791.95202225,1665046.10361756,1428026.3809968,890007.208762942,1254301.03539114,1072673.95383256,0,0,0,1044.40776453766,2516.58549488761,1484.42025897888,16.7240211369526,40.2978898075119,23.7699073390872,1.35915703781402e-07,3.66117331723877e-07,2.28434298040761e-07
2020,"asia","a3_1",18818.8091801527,37113.8363655507,26875.3334986102,1857.92224773734,3664.13313522319,2653.31772825934,2960617.76850192,4100396.37724744,3515643.17207219,45410323.1688533,56725502.4410269,48373538.6304347,22868.2857009265,45108.6755630315,32699.9456616455,2257.71441564829,4453.43863643141,3228.36349329944,1175226.3565176,2317742.75782963,1678352.75683001,1428114.38422191,2817016.94946704,2042097.22466336,194614.011951039,383884.495756656,278283.545125376,1206770.46065645,1660418.97083312,1427570.1164512,906619.383417844,1247384.78658796,1072471.34826835,0,0,0,1006.68713062524,2480.53147415106,1479.31556617763,16.120003529778,39.7205595488298,23.6881662862105,1.37725996285457e-07,3.73796650097763e-07,2.29060172140157e-07
2020,"asia","a5_2",18247.8910846113,37815.6507665039,27097.0795597513,1801.55728748998,3733.42107883487,2675.2100242276,2429950.78601656,3509212.06738211,2957619.9812226,38564966.094058,49747693.0471091,41418713.034419,22151.1609841039,45863.2419220381,32933.9067259737,2186.91493237428,4527.93461608516,3251.46173837746,1139572.77254903,2361570.75850109,1692200.70082116,1383330.2610581,2864139.28671787,2056707.99023122,188511.126932226,390306.017174137,280274.603920282,971412.938060144,1394662.25718943,1178252.20686609,728180.821714008,1047653.85779699,884237.321317306,0,0,0,840.868732297943,2245.82779578953,1257.6313335385,13.4647662817583,35.9622676142842,20.1383537338048,1.58828138281619e-07,4.72129206078152e-07,2.79514916535324e-07
2020,"east africa","a1",12391.210471974,23906.3088574584,17868.0519741888,1223.34550458998,2360.19519951325,1764.05695858718,393001.397076917,629419.250198321,507357.32131412,8967152.29509126,11895314.5248412,9719380.64133253,7181.31865480635,13939.5025091989,10354.6485255865,708.989159150806,1376.20354116482,1022.28210504825,773825.644142194,1492938.47380981,1115851.98716185,448470.191545428,870515.800905789,646643.24629953,61114.5606972224,118628.15356583,88120.2779369527,88066.4451728374,135338.470266935,110866.721397822,38103.6398875084,60769.8132908491,49071.6578739512,0,0,0,643.290697725666,1656.42482900822,938.6490152047,10.3009644233462,26.5242032783715,15.0305144249979,5.3061916841843e-07,1.58283923937677e-06,9.33972647069717e-07
2020,"east africa","a3_1",12502.4456056304,24074.0466014193,17954.7642553622,1234.32740188071,2376.75542302723,1772.61779125208,399256.423065504,616915.252798436,509409.556239137,9038897.56113008,11816273.4986666,9741743.97630744,7248.71821671612,13984.9636221374,10420.9854171369,715.643307368217,1380.69177484246,1028.83133914045,780772.22931623,1503413.6221467,1121267.13098382,452679.264543397,873354.827414347,650785.956000939,61688.1454126903,119015.037379178,88684.8190999345,88667.8620767297,133803.121113222,111136.695901679,39105.2160416794,59341.5039946018,49232.398112592,0,0,0,646.329715639874,1630.11902868805,934.819845375418,10.3496279832684,26.1029705228167,14.969198223284,5.41745077125843e-07,1.57723027200491e-06,9.37672776087949e-07
2020,"east africa","a5_2",11179.6919535285,29811.3504549832,18793.9734291789,1103.73606557513,2943.18151139033,1855.4702916209,307795.00160451,913242.527514548,514578.79882806,8113343.63864189,12826122.5172863,9121397.69903214,6502.73676041701,17357.2336051635,10918.6793456484,641.994888342887,1713.62545661063,1077.96710610069,698166.845508547,1861705.72445302,1173675.37479241,406093.050690891,1083951.60468148,681866.72294353,55339.6833569812,147713.777606661,92920.3010865602,71154.0717158849,157624.372385519,104341.372288135,32035.5785534722,74139.5237799924,47804.490162292,0,0,0,467.432992100095,1972.41915055836,835.393861315972,7.48496852036671,31.5841960246921,13.3770975941695,4.12546401422781e-07,2.43938726015149e-06,1.04643815834594e-06
2020,"west africa","a1",8231.8463110476,15959.2724631895,11805.144780867,812.704473212891,1575.60911974884,1165.4850695476,145571.409011988,235040.145467656,189966.453478915,5286341.34065642,7128818.12355866,5763577.24117741,4474.00464770678,8722.82284982436,6408.28542353732,441.704503822769,861.177053267131,632.670002881889,514075.181640522,996649.546208628,737226.099492685,279399.622517698,544736.450548588,400194.606243811,38074.7383238496,74233.0917386488,54535.8822393683,50790.7446589858,81931.2695492544,66179.567225241,21856.8272189993,36049.7354494945,28803.6595142165,0,0,0,606.035618476748,1593.3863920353,899.394590011248,9.70440170716077,25.514773639707,14.4019363361086,5.46068024128096e-07,1.71740400901587e-06,9.68317819566095e-07
