"year","country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"Afghanistan","a1","asia",268.075410234215,537.490228546749,390.603912672366,26.466247889412,53.064731354608,38.5631042038843,22630.3014150605,35248.4364088814,28832.8671408115,601753.206618775,790066.068447497,649967.682009737,362.840774635981,711.916492142507,519.062874490031,35.8221363067656,70.285291519809,51.2454562484543,16741.1914657058,33566.0283768116,24393.0425531707,22659.2467934259,44458.8718231873,32415.2482205849,3087.85274833565,6058.56191067045,4417.33629623363,6462.37363269846,9997.62811309204,8227.33276829049,4854.92569388188,7623.14659587291,6189.10080211528,0,0,0,TRUE,1,845.258135273428,2177.44565571532,1252.19451044022,13.5350534537166,34.8672696692072,20.0512943040486,3.62926856781996e-07,1.10163313451939e-06,6.30900547125777e-07
2020,"Afghanistan","a3_1","asia",263.811547410946,548.821734782893,395.460689833411,26.0452900315149,54.1834555700972,39.042598642317,21675.0134820244,35090.0477509974,28711.7463320455,596121.684589108,790806.142969732,647061.683583057,348.010900827794,726.930692190556,523.625828791968,34.3580291884242,71.7675965920487,51.6959424737952,16474.9151077008,34273.6759574994,24696.3461507975,21733.1276964963,45396.5020127269,32700.202709888,2961.64734421032,6186.33597059782,4456.16801517675,6182.49156854047,10008.9406883249,8189.62026312728,4655.01517247173,7536.08318717384,6166.25290289546,0,0,0,TRUE,1,820.052985784292,2272.36026540745,1235.73293753645,13.1314453351931,36.3871300078553,19.7876964043222,3.47700033065175e-07,1.17578921723005e-06,6.39377421624207e-07
2020,"Afghanistan","a5_2","asia",285.702122801822,541.987961749077,395.467519481393,28.2064781622375,53.5087785045099,39.0432729121291,22340.6770521301,34179.3791711994,28088.0149359454,585825.978763657,770282.879159318,633004.97374045,378.724175324669,714.744048160831,523.684645972163,37.3902548432117,70.5644472933162,51.7017493102739,17841.9719130711,33846.9098371293,24696.7726593102,23651.1581806864,44635.4514529319,32703.8758169225,3223.02389198313,6082.62501832702,4456.66856198463,6372.36270348006,9749.18533357019,8011.7096887869,4797.97582258498,7340.50425202953,6032.29777918582,0,0,0,TRUE,1,819.630440115025,2033.88885459709,1208.75221110473,13.1246791439179,32.5685056636395,19.3556561088977,3.88467510224241e-07,1.1216311459649e-06,6.53649054090298e-07
2020,"Angola","a1","west africa",566.097729807714,1084.06375199768,814.606384779564,55.8890605954282,107.026228042436,80.4235438566979,11272.313898275,17753.3967713574,14257.0705044625,677901.86835073,913841.318239117,734417.397376066,312.029610879026,597.289256984798,451.053661485949,30.8057088232968,58.9685026434579,44.5311190828141,35352.5542485684,67699.3045254257,50871.8104538799,19486.1119642846,37300.4514022951,28168.1027799101,2655.43885601483,5083.05957504969,3838.56331930599,3942.99153962768,6238.71126647963,5014.22180293461,1655.3495902191,2628.41156918743,2114.31344929662,0,0,0,FALSE,1,1134.96410729514,2928.70063089433,1628.22621804378,18.1740928826673,46.8970577565223,26.0726610916751,5.00150748369379e-07,1.51481242346565e-06,8.99548682154361e-07
2020,"Angola","a3_1","west africa",572.627642563849,1092.08056515844,818.436164763242,56.5337384849412,107.817702964401,80.8016460717477,11419.6998255326,17318.1199658812,14328.7515046004,686110.86174611,892128.416569537,738133.608983064,317.458827762927,602.873493623654,452.419671696891,31.3417184474886,59.5198168838351,44.6659810040573,35760.3444282395,68199.9509814057,51110.9785294683,19825.1641708366,37649.184524364,28253.4095167924,2701.64265516911,5130.58262553911,3850.18835893486,4016.58888941447,6091.20811433071,5039.77380945515,1693.26102335184,2567.85186860989,2124.60194284505,0,0,0,FALSE,1,1138.06771902037,2810.21769927206,1631.52412496686,18.223790778313,44.999799693053,26.1254702213676,5.21175474231533e-07,1.50095892365907e-06,8.97698366637216e-07
2020,"Angola","a5_2","west africa",564.08068719115,1101.50381595405,813.381294129738,55.6899242783492,108.748031080891,80.3025944835459,10818.7046365955,16878.7294031277,13730.7779640931,644850.73208414,869493.580468554,707329.503866903,311.76556556541,612.010330630398,449.758068030856,30.7796404542581,60.4218682615962,44.4032091879212,35226.5908242884,68788.42884911,50795.3040816107,19469.6224505802,38219.7759769228,28087.1935384601,2653.19177381148,5208.3390664757,3827.53754135959,3805.20412139465,5936.66366224946,4829.45182939789,1604.14819690312,2502.70103931438,2035.93715264865,0,0,0,FALSE,1,1053.65988090416,2788.9339827882,1572.68886128881,16.8721745641184,44.6589851793783,25.1833456731214,5.25152818657878e-07,1.60835085610621e-06,9.3128181814152e-07
2020,"Armenia","a1","asia",36.7478222599557,71.0615501708471,52.8724912990253,3.62799770586309,7.01568487980433,5.21993591291419,3111.67944821837,4855.6115202654,3933.8266056167,72625.0757550137,97465.6027711407,78516.1512930601,47.7059597260826,94.8722716488634,70.1709387324201,4.70986038894686,9.36644303592296,6.92775759441116,2294.88533791349,4437.76255427761,3301.86382754203,2979.21620312665,5924.73163828197,4382.14426165156,405.987940577962,807.383362704185,597.169726130083,892.082870462896,1392.61584552321,1121.61198232068,665.161619883418,1050.05221635281,845.301320487668,0,0,0,FALSE,1,765.503708225835,2043.04877903657,1118.92690494654,12.2579519527526,32.7151828285747,17.9172903959735,3.42563671664667e-07,1.06349168659224e-06,6.25625794289683e-07
2020,"Armenia","a3_1","asia",36.1212931886204,73.9017616308111,53.5124296970818,3.56614244768259,7.29609008553388,5.28311503203637,3047.51869231637,4741.0156522386,3919.16315514174,72504.3373927486,94657.2241469614,78248.4455771829,47.8510219961227,98.1892088654732,70.8678855906072,4.72418193374996,9.69391388650083,6.99656498072985,2255.7588729651,4615.13251078652,3341.82769904655,2988.27527809018,6131.87290862256,4425.6682864181,407.222451582609,835.611209231744,603.100893247825,869.261679391386,1352.30777690598,1117.88595575698,654.497666766801,1018.20004921332,841.69562181389,0,0,0,FALSE,1,738.414518565733,1978.165150885,1104.14533924734,11.8241748440014,31.6762062856061,17.68059432229,3.53847125730532e-07,1.12957019955395e-06,6.33945575804454e-07
2020,"Armenia","a5_2","asia",38.7929388832789,71.6208190102662,53.9792075461096,3.82990568193721,7.07089974538248,5.32919855103897,3031.80450197164,4609.44946056552,3810.87125140887,70634.3977463699,92030.4261338647,76086.3326974029,51.3522801981098,94.9704807390404,71.494195071198,5.06985021946728,9.37613891262924,7.05839855940208,2422.60197156832,4472.68864732485,3370.97777042272,3206.92731290057,5930.86475276975,4464.78103802108,437.018909195415,808.219143107638,608.430921144749,864.779428462531,1314.78037830028,1086.99721917904,651.122822523289,989.944351982478,818.4384065254,0,0,0,FALSE,1,743.751081353993,1792.13903995741,1064.23091583354,11.909628813131,28.6973844912706,17.0414477327037,3.90576867784541e-07,1.09820467061625e-06,6.57721968462759e-07
2020,"Azerbaijan","a1","asia",123.18201784648,254.962941587389,183.934464961606,12.1613758494094,25.1716948181481,18.159275186139,12419.6585638083,18653.6777299401,15491.9303314778,348173.03204745,449471.366317639,371903.692194659,165.237084286382,338.443753619515,243.124761014674,16.313341195398,33.4134946285868,24.0029482280623,7692.66283728957,15922.3235657638,11486.6264398292,10318.9832400384,21135.6635611083,15183.0343955998,1406.20299731351,2880.2288712439,2069.04381747278,3529.84816775382,5342.33198779878,4420.44066478719,2672.14566055811,4011.78633871512,3325.52450095172,0,0,0,FALSE,1,1028.74710590426,2720.16035782037,1529.6824998101,16.4732482157846,43.5577184168356,24.4946881173133,3.09297671248741e-07,9.58805414667111e-07,5.50001186423296e-07
