"year","cluster","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"americas","suspect_bite_incidence","a1",1416.39902310854,2437.93086465057,1893.09042182176,16800.5826304403,28043.3345190939,22195.6996874977,990413.424054686,1647272.68211012,1307281.20917448,430.508571721916,774.250038810171,598.195110715431,42.5027665452573,76.4392878766225,59.0579347527496,36622.4799027314,63035.2553470184,48947.8351764638,11131.2499222413,20019.0454973519,15466.9609782761,1284.5718354898,2310.24388086951,1784.92286060475,5058.3044672894,8470.43590827572,6706.50787540805,3318.67610161007,5565.28959377465,4391.34196834081,0,0,0,1279.19066762555,3826.34119344357,2185.37595135306,49.4735587761015,147.98631722559,84.5208836442147,5.08248425917849e-07,1.53065131570672e-06,8.9196213861008e-07
2020,"americas","suspect_bite_incidence","a3_1",1403.05980870907,2368.42500156992,1877.70976914775,17049.0614691246,27080.121821949,21981.1294604253,1007367.2420755,1591717.58160163,1294680.39780495,442.163676757075,746.39286020978,591.747402998231,43.6534386593769,73.6890356483655,58.4213727099542,36277.5805464818,61238.1084750822,48550.1522959653,11432.6048673877,19298.7689744264,15300.2487436308,1319.34888907542,2227.12231396751,1765.68388539954,5151.08510155436,8181.8000549728,6641.22589293169,3373.44563300795,5358.26085600169,4349.33883728097,0,0,0,1349.6474789327,3599.83794525057,2187.89367092299,52.1985233053155,139.226151875686,84.6182581406659,5.40423468901973e-07,1.44900122109136e-06,8.91021345363409e-07
2020,"americas","suspect_bite_incidence","a5_1",891.666270740751,4128.21980822113,1926.17698845486,11735.2109276733,45366.0515840992,22484.7495103153,737413.802515463,2791804.34165449,1386277.63077879,281.002700064502,1300.97886596739,607.021519168086,27.7425188345454,128.441579686462,59.9293384890231,23026.0178202258,106640.867126755,49757.8120360985,7256.49650288419,33607.104511701,15680.8345409131,837.485055288799,3878.57099934336,1809.71233028399,3545.59518027474,13706.583957973,6793.38615937981,2322.01028356193,8976.44183407655,4448.98859577784,0,0,0,566.814590002685,9935.15130286526,2283.73721030296,21.9421998184555,384.731714615291,88.4058579383533,2.05012934605814e-07,3.66928202408764e-06,8.93547790345989e-07
2020,"americas","non_suspect_bite_incidence","a1",1771.66733007948,1872.81237141821,1822.96882353023,19464.7309373342,23280.2788092255,21338.9915491894,1140445.14309741,1360347.14005308,1248039.64904462,523.34206687131,624.487108210037,573.185614759285,51.6679275457302,61.6536615394477,56.5888253369091,45802.9708203409,48417.8767332089,47129.2699328607,13529.9788007538,16144.8847136218,14818.5856011021,1561.46568792366,1863.24634258844,1710.18102100731,5896.49769236164,7033.77135601393,6452.06834349651,3810.58159733449,4644.77532979243,4217.42743109817,0,0,0,1826.21086665225,2599.34606095327,2177.37433897175,70.6381719861514,100.543183406709,84.2212396405632,7.44041909215386e-07,1.05908140864534e-06,8.883749896063e-07
2020,"americas","non_suspect_bite_incidence","a3_1",1821.97112092276,1821.97351530917,1821.97231380796,21024.6357678701,21781.7044385267,21408.5695470479,1226752.25035368,1275203.86610283,1251323.61707753,574.180922980348,574.183317366753,574.182124481555,56.68708900862,56.6873253989107,56.6872076290812,47103.4762961878,47103.5381983343,47103.5071358861,14844.3173356284,14844.3792377749,14844.3483980766,1713.1506650212,1713.15780901449,1713.15424987139,6352.23752730378,6580.97300094467,6468.23661461353,4160.08035663125,4309.87921831866,4236.0481589104,0,0,0,2136.5167068588,2220.90949919364,2179.31482664561,82.6408589206562,85.9051876398628,84.2962980604565,8.72486367742167e-07,9.03907190023586e-07,8.87694991219584e-07
2020,"americas","non_suspect_bite_incidence","a5_1",1907.97059045776,1907.9730978624,1907.97183964873,21918.2517817333,22675.3204523899,22302.1855609111,1350547.60687588,1398999.22262503,1375118.97359973,601.283029169833,601.285536574474,601.284287383502,59.3627952963,59.363042844528,59.3629195158053,49287.477034037,49287.5418063397,49287.5093036493,15532.5892544571,15532.6540267598,15532.6217571474,1792.60350939021,1792.61098470906,1792.60726049931,6622.22846750055,6850.96394114144,6738.2275548103,4336.89742336611,4486.69628505353,4412.86522564527,0,0,0,2246.10027137847,2326.69001910226,2286.96974534888,86.9489273725622,90.0686421115257,88.5310281225999,8.77661938284342e-07,9.07980658664015e-07,8.92347850369428e-07
2020,"americas","p_rabid","a1",1724.15519970185,1936.27715040697,1826.63277354051,19320.0202213952,23145.8330901531,21277.3782590116,1133673.8515054,1349843.05129581,1243827.56473959,515.765263460072,630.329632761943,571.285530275555,50.919893411917,62.2304757386897,56.4012359309532,44574.6382297066,50058.6336466477,47223.9941469152,13334.0954655112,16295.9316833461,14769.4626575974,1538.85921445303,1880.6783477647,1704.51184798777,5860.62447843652,6982.65475047148,6429.67374233005,3800.38741360918,4650.14494845207,4209.01538717574,0,0,0,1798.54125933749,2617.16549548186,2177.24325021788,69.5679064894447,101.232442409551,84.2161691034687,7.38637784469076e-07,1.07553322189669e-06,8.88514026014215e-07
2020,"americas","p_rabid","a3_1",1728.65565602225,1920.06424282495,1824.24064486708,21401.9648381967,21401.9648381967,21401.9648381967,1250900.9225086,1250900.9225086,1250900.9225086,544.775150055061,605.095198912088,574.896972775249,53.7839488998706,59.7391589072216,56.7577823682104,44690.988667524,49639.4808405402,47162.150369606,14084.0889697387,15643.5450768601,14862.8293933409,1625.41434807613,1805.38781580672,1715.28710169687,6466.24111372189,6466.24111372189,6466.24111372189,4234.74130537647,4234.74130537647,4234.74130537647,0,0,0,2067.27953676978,2296.17838181894,2175.86973274537,79.9627524555754,88.8166018544975,84.1630411951746,8.42491241007088e-07,9.35775805866606e-07,8.89074444742357e-07
2020,"americas","p_rabid","a5_1",1810.25051102264,2010.69383868399,1910.34723896243,22295.58085206,22295.58085206,22295.58085206,1374696.2790308,1374696.2790308,1374696.2790308,570.489264500988,633.656500201132,602.032877471097,56.3226230982539,62.5589269691247,59.4368254768501,46763.1319550245,51941.0660165575,49348.871590734,14737.1121247268,16368.874005358,15551.9596426132,1700.79813998054,1889.11845321288,1794.83903015356,6736.23205391866,6736.23205391866,6736.23205391866,4411.55837211133,4411.55837211133,4411.55837211133,0,0,0,2169.46607285564,2409.67948841817,2283.42392994442,83.9823361448578,93.281252622368,88.393765841834,8.4689669229717e-07,9.4066904929814e-07,8.93723483176142e-07
2020,"americas","p_transmission","a1",1471.48026889517,2195.17893426498,1827.49298017615,19587.6062121231,23556.3911263789,21405.8905882983,1142916.92419571,1368494.71270086,1250718.80440708,464.17564090266,702.323983456871,575.731155188157,45.8266111226808,69.3382531005316,56.8401385921762,38042.2253515784,56752.0295511998,47246.233095934,12000.3473421976,18157.2038805149,14884.3955373164,1384.93421859341,2095.48375984734,1717.7760038847,5902.64223441624,7073.04387321053,6465.18123220922,3833.36837702645,4685.37297310317,4237.76406193992,0,0,0,1627.33574691587,2948.22604227919,2172.40076924155,62.945645800795,114.037925209775,84.028861049239,6.56260090031034e-07,1.1898467763502e-06,8.9051046600193e-07
