"scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a3_1",258936.815235098,401791.939598811,327986.329202668,25564.0229505552,39667.6631553003,32381.0657808262,30311906.2940319,38346674.3950468,34436965.1440214,297402653.397656,341199419.346143,308891953.293527,486678.79472109,753430.409974053,615659.528423818,48048.2772080997,74383.8309540319,60782.1421610701,5298090.8218444,8240431.18228202,6717707.75645377,9238880.27679773,14304869.3034645,11683922.5085211,1093456.69163859,1693028.41257861,1382839.59465602,18719348.400574,23745221.0675778,21301659.6766892,14331175.2874843,18246882.5657356,16344313.6327236,0,0,0,394.731417076593,701.077225979571,501.72528651402,20.790309026146,36.9308194417263,26.4373503905262,0.000000204958628658804,0.00000040248751925091,0.000000289019511985512
"a4",259866.209753091,400834.946946466,327545.336959731,25655.7791682507,39573.182260006,32337.5279941688,30393385.5393333,38504186.5817834,34512457.0698275,313136297.26115,359900399.496217,325329546.85045,486794.754986217,753271.836445539,615188.782142865,48059.7256028611,74368.1754848835,60735.6668511795,5319935.90041693,8213238.24188127,6708471.42746309,9257093.92404485,14285492.0900699,11674830.8555357,1095607.17504891,1690760.14858478,1381766.55281606,18773491.2083105,23847290.7729964,21351588.8468069,14375345.3750315,18327590.1705368,16385462.050796,897163.909628913,1145247.894657,1023497.30647297,415.70158621454,739.326781584586,528.828802302345,21.9198817434379,38.8783350854195,27.8658895256021,0.000000204130003537945,0.000000401242277255329,0.000000288123186783294
