"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a3_1",15031.6092388569,23554.2785605284,19075.0004300657,1484.02382726853,2325.44034790268,1883.21520959973,348796.288058623,396602.533472319,372668.904146814,5462325.1245517,6003326.43871139,5598763.61901621,18725.4371558437,29316.9563602431,23838.3402166175,1848.7039194351,2894.37152671095,2353.48486791055,325807.705218984,512142.716596116,414714.534559337,373040.393934211,583265.671770116,474506.114668646,43056.3501088513,67326.2848138876,54767.8581959785,294921.150420952,335743.65028789,315225.702672001,233739.98947368,266223.189907023,249876.11664053,0,0,0,186.319652607567,320.597398541262,234.863818879192,9.36507219424459,16.0929661675463,11.7991390330679,0.000000557730195039795,0.000000994060830103164,0.000000756230853466343
"americas","a4",15160.8067052733,23270.3353578011,19034.638345915,1496.77908956533,2297.40752242522,1879.23038710693,348657.472978604,396508.870734434,372674.201520804,5905207.44833293,6478059.92011688,6052930.49988776,19003.0545300334,29239.9172916511,23811.0205360559,1876.11221562047,2886.76570010885,2350.78768118473,329343.487620497,505493.611394809,413763.833540983,378573.24325213,581090.53788005,473927.651392795,43696.0696575477,67070.682643493,54700.9658552185,294469.373834799,335833.759659746,315297.01673599,233400.246461957,266313.435183246,249937.73249668,27743.531044988,31696.3237239536,29710.6625292945,201.957050337453,340.895718100404,254.207100897758,10.1622846413512,17.1117743675363,12.7718449896291,0.000000565847059249988,0.000000992969724181062,0.000000755193334290053
"asia","a3_1",185480.35542681,290898.039471848,236021.985906277,18311.8961230098,28719.4547850523,23301.7134279091,54876173.1753838,68852012.3101683,61958385.6641702,547628673.315787,629604175.417446,569687768.659511,619621.695658605,964296.514890042,785637.871839749,61173.3145558958,95201.9828289293,77563.5730604844,3887124.45249953,6109577.917089,4953647.07286334,12304960.7493253,19091503.9809878,15557761.9275483,1452411.2361552,2253489.07583668,1836409.1038675,33418712.4206757,41924597.0424654,37745771.7683643,26617152.4500019,33388535.7065762,30060208.9468794,0,0,0,567.904855881629,1016.11060398431,725.127681695714,28.6844176268743,51.1666951438239,36.6175913548824,0.000000147794311542456,0.000000288549870728546,0.00000020813930541969
"asia","a4",181590.948251627,292310.277591295,235551.520277254,17927.9071015948,28858.8806433043,23255.2658259067,55058928.4246663,69045972.110184,62080586.2509953,575025576.433338,661636154.316017,598442593.1715,601902.130498797,975974.87968629,785073.568276008,59423.9172366775,96354.9513066066,77507.8611323006,3802283.93629454,6144716.74223302,4943388.02193825,11930010.0365144,19341045.919713,15544819.4314918,1408246.1807193,2282992.93490766,1834907.02520912,33542307.8629521,42032694.7999181,37823080.898912,26714381.220004,33472692.311833,30122005.4033994,1585155.69809798,1974923.37341647,1780888.59980743,589.180713973059,1099.24208736015,762.275813826795,29.7308417973019,55.459815397551,38.4978800049058,0.00000014319855849451,0.000000290968314903658,0.000000207564679983166
"east africa","a3_1",157077.916596368,244784.428837167,199083.406920478,15507.8120554202,24166.8020480221,19654.882906353,6996110.11248183,8145401.36920905,7562569.0210867,94547751.4769133,104024741.374993,96998027.9167012,275994.953706758,427489.903838016,348646.368066251,27248.1196788915,42204.7428942208,34420.7668839254,3211510.81068484,5021173.70382252,4075927.24251724,5222609.1103543,8096973.03452028,6598055.18318842,617289.859801577,957037.463423232,779868.189878098,4076121.78473362,4758833.81416295,4412720.78007026,2727611.56757233,3186463.53377551,2953479.136525,0,0,0,221.169554246922,376.908128130191,278.213217750398,11.6769255712996,19.9181556913295,14.7010028294168,0.000000579963420629143,0.00000104876626954352,0.000000790093879587595
"east africa","a4",157914.426900835,243923.22080417,199159.371240239,15590.3981048483,24081.7776690023,19662.3826263601,6980703.99493249,8134020.55967785,7559742.27914346,97071971.723116,106678452.992228,99550188.0903267,276487.10377797,427942.557232417,349052.467094616,27296.7081181375,42249.4319499374,34460.8597725009,3229953.73170276,4995536.32760417,4077683.06612349,5245205.67578471,8099285.9551443,6606111.25666853,619952.12251072,957310.673117809,780817.704286515,4069670.38535204,4752386.18564442,4411301.41138162,2723443.42227511,3181023.43873468,2953431.01503781,158963.57878289,186687.791204544,172854.901163657,226.834116127403,385.835185564009,285.20121607776,11.9852505839061,20.3382783414435,15.0694083436509,0.000000581785850260143,0.00000105154107510208,0.000000791268685912107
"west africa","a3_1",97674.9896156035,151664.490288742,123894.84970764,9643.14662618154,14973.3613855003,12231.7515124531,3768682.7926067,4239680.89374924,4003376.22663302,71169626.6076937,76924775.4637363,72718693.9064471,184930.047326081,285535.050087634,233183.586777698,18257.5659231727,28189.9835950358,23021.4871479961,1942132.06980715,3023776.97442432,2467822.04716218,3356137.3407692,5178869.81057976,4231296.34956638,400879.603205231,618571.867864552,505377.858576618,2616501.30229976,2952013.98251847,2781930.3142134,1798205.12612318,2039833.96353766,1917967.5268612,0,0,0,249.250053840503,415.966883564883,311.851682664837,13.7423084979475,22.9206279878004,17.1859137008684,0.000000626453832607901,0.00000109128571744514,0.000000838207864468493
"west africa","a4",98213.1063044071,150643.613629584,123623.369773315,9696.2732060005,14872.5734217622,12204.9491465346,3757274.47663701,4255082.16414496,4008950.98179177,73986016.6940884,80036169.0778371,75536229.662917,185673.225499749,284787.954122932,232922.485533643,18330.9375828602,28116.2251440771,22995.709437749,1951211.50944611,3004742.23122972,2462007.02818377,3370302.50590225,5160047.37413773,4226288.25338301,402560.070131665,616315.438693162,504784.024022085,2610439.05020791,2959898.00972193,2786584.63571372,1794784.13272791,2046364.00658903,1921411.02694203,166857.470063414,190214.983162843,178711.810667056,259.793350185561,431.05929173372,324.297714279743,14.3382436884025,23.7474733907931,17.8729478762961,0.000000627296024693744,0.00000109095806738046,0.000000835870845437234
