"2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","phase"
NA,NA,0.0093313333356745,0.00272028681946831,0.000946884444654924,0.0000764474918977506,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0113321057085488,0.00895902844735072,0.00579177651980595,0.00123844936874356,0.000474013511441981,0.000703208851031303,0.000319789050821392,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0115843039068103,0.0090893415884031,0.00446613829728906,0.000183473980554601,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0139549669704682,0.00926852215735011,0.00126251259287323,0.000366947961109203,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0101383675701112,0.0052939713552527,0.00501848755667109,0.00107026488656851,0.00117022085637239,0.000818018459362945,0.000194654204847804,0.0000673524291705128,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00916320120350018,0.00653194619525025,0.00557083681605313,0.000504553446525154,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0136187027061195,0.0065808136231449,0.00576021370498412,0.00574885139071085,0.00216268664595404,0.00163603691872589,0.00107059812666292,0.0000538819433364102,0,0,0,0,0,0,0,0,"I"
NA,NA,0.010441005408025,0.00389310508893968,0.00277752770432111,0.000504553446525154,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00929770690923963,0.00635276562630324,0.00598115340873693,0.00353187412567608,0.00151091806772131,0.000545345639575297,0.00265563950899504,0.00507837315945667,0.00388908136384362,0.00259198289794243,0.000122497091227472,0,0,0,0,0,"I"
NA,NA,0.0102560600626332,0.00508221250104259,0.00137298244474964,0.0000305789967591002,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00961715796037083,0.00680886161998655,0.0062494373347225,0.000840922410875257,0.0000296258444651238,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00396791831931384,0.00503334507314795,0.00399269607496159,0.000825632912495707,0.000518452278139667,0.000301375221870559,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0106259507534167,0.00917078730156083,0.00394535185272885,0.00105497538818896,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0206802522574408,0.00798167988945792,0.00179908044484435,0.0000458684951386504,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00971803723967542,0.00329040681157245,0.00138876385216055,0.000137605485415951,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00790221021219282,0.0055383084947259,0.00752773133500664,0.00299674168239182,0.000355510133581486,0.0000574048041658207,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0108445225252433,0.00441435765314917,0.00520786444560208,0.00103968588980941,0.000859149489488591,0.000717560052072759,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0124922174205516,0.00697175304630202,0.00534989711230032,0.00287442569535542,0.00402911484725684,0.00156428091351861,0.00120963684441135,0.00052534894753,0.000143556694638523,0,0,0,0,0,0,0,"I"
NA,NA,0.00953309189428368,0.00817714960103648,0.00418207296389258,0.00542777192474029,0.00308108782437288,0.00114809608331641,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0100543015040241,0.00475642964841166,0.00254080659315738,0.00246160923910757,0.0027996423019542,0.00126290569164806,0.00022246194839749,0.000228998259179744,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00919682762993504,0.00469127307788547,0.000678600518669362,0.0000152894983795501,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0138204612647287,0.00625503077051396,0.000852196000189431,0.000642158931941105,0.000474013511441981,0.000315726422912014,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00771726486680107,0.00614100677209313,0.00446613829728906,0.00139134435253906,0.0000592516889302476,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0150478258296012,0.00444693593841227,0.0030773744451285,0.00356245312243518,0.00149610514548875,0.000373131227077835,0.0000556154870993726,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0105418846873296,0.010099268431559,0.00495536192702743,0.00266037271804172,0.000770271956093219,0.000200916814580372,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0124754042073342,0.00690659647577583,0.00344034681557956,0.00152894983795501,0.000207380911255867,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0101719939965461,0.00469127307788547,0.00383488200085244,0.00174300281526871,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0107772696723736,0.00392568337420277,0.00176751763002252,0.00111613338170716,0.00164423436781437,0.000818018459362945,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0133833177210755,0.00636905476893479,0.00438723126023448,0.00506082396363109,0.000785084878325781,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0117692492522021,0.00490303193209558,0.00467129659363096,0.00178887131040736,0.00127391131200032,0.000731911253114214,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.00902869549776073,0.00834004102735195,0.0047186408158637,0.00214052977313702,0.00164423436781437,0.000530994438533841,0.00184921494605414,0.00168381072926282,0.0000130506086035021,0,0,0,0,0,0,0,"I"
NA,NA,0.0105755111137644,0.00816086045840493,0.00705428911267918,0.000947948899532108,0,0,0,0,0,0,0,0,0,0,0,0,"I"
NA,NA,0.0150478258296012,0.00687401819051274,0.00329831414888132,0.000305789967591002,0,0,0,0,0,0,0,0,0,0,0,0,"I"
