"dogpop2018","dogpop2019","dogpop2020","dogpop2021","dogpop2022","dogpop2023","dogpop2024","dogpop2025","dogpop2026","dogpop2027","dogpop2028","dogpop2029","dogpop2030","dogpop2031","dogpop2032","dogpop2033","dogpop2034","dogpop2035","dogpop2036","dogpop2037","dogpop2038","dogpop2039","dogpop2040","dogpop2041","dogpop2042","dogpop2043","dogpop2044","dogpop2045","dogpop2046","dogpop2047","dogpop2048","dogpop2049","dogpop2050","dogpop2051","dogpop2052","dogpop2053","dogpop2054","dogpop2055","dogpop2056","dogpop2057","dogpop2058","dogpop2059","dogpop2060","dogpop2061","dogpop2062","dogpop2063","dogpop2064","dogpop2065","dogpop2066","dogpop2067","dogpop2068","dogpop2069","dogpop2070","country"
1495423.54859308,1517315.15369616,1539197.95879719,1561053.69722524,1582873.4356449,1604642.64071944,1626347.97911243,1647973.71748687,1669505.58917276,1690927.19416627,1712225.99913116,1733391.07073155,1754410.00896454,1775268.94716022,1795953.21864853,1816434.82342293,1836686.42814371,1856682.832805,1876407.50406962,1895851.24193542,1915010.31306819,1933876.18413262,1952446.18846141,1970710.0593855,1988659.66356967,2006290.73434626,2023601.00504806,2040587.40900771,2057244.87955734,2073566.75002874,2089546.75375379,2105180.49073145,2120461.82762696,2135385.96443921,2149945.70116651,2164135.97114102,2177951.17436144,2191386.64416,2204437.71386896,2217098.91682037,2229358.11967807,2241203.45577263,2252626.125102,2263620.3943315,2274185.33012759,2284319.46582326,2294021.06808476,2303293.60357959,2312135.47230735,2320547.07426815,2328532.27612955,2336097.87789314,2343248.54622668,"Bolivia"
539008.449148859,538734.602923145,538186.295086941,537241.371762033,536041.986831884,534647.678773656,533186.293774748,531747.062627808,530315.062251996,528820.138782747,527248.292216388,525583.830241108,523812.599007038,521930.444666934,519938.905682739,517833.674361015,515618.289164228,513292.750092378,510857.980222632,508318.133402232,505683.05578761,502967.055074827,500180.131266507,497331.6689805,494424.283602105,491474.436674106,488493.974353456,485494.281258529,482484.280468589,479467.356599909,476456.894271387,473459.508869373,470483.66193455,467534.276545133,464613.352701647,461719.967326927,458850.274266117,456005.350442576,453183.195855781,450383.041274758,447595.963620245,444813.347505364,442023.654465549,439227.807577965,436422.729918728,433604.575332982,430774.266897893,427926.419996662,425063.496168397,422184.726182128,419292.110038379,416388.57081484,413476.262358231,"Bosnia and Herzegovina"
197398.878938866,200904.458847683,204384.234439565,207826.784131608,211227.793103601,214585.823082142,217903.158383812,221182.421742465,224419.382942207,227610.57320601,230757.007785687,233863.2553144,236928.723561924,239954.850801663,242940.029551577,245886.797941202,248795.155970537,251666.795725939,254501.97102036,257298.651350175,260056.921319699,262775.511864167,265454.592192213,268091.708778622,270684.577306811,273231.082668835,275726.571627215,278167.829217873,280552.232706957,282877.751590839,285141.25550976,287338.429643511,289465.551402109,291519.575030111,293500.754340471,295406.72041229,297236.119576483,298988.782624415,300662.932865411,302259.162529696,303776.963991363,305216.929480637,306579.482019107,307865.298441316,309076.324646572,310214.252721234,311282.805255283,312283.674335079,313219.482694471,314092.853067313,314906.408187458,315664.378270795,316369.809072767,"Botswana"
28115727.4705418,28319029.2058314,28515073.0743845,28703720.2761998,28884793.7446088,29058294.9462783,29224264.1478753,29382740.5494003,29533708.1508529,29677156.9522333,29813136.2868751,29941717.0881123,30062962.1559457,30176908.9570421,30283584.4247353,30383024.5590254,30475264.4265797,30560344.5607317,30638331.4948155,30709286.1621649,30773234.5627802,30830197.629995,30880221.097143,30923342.4308913,30959668.5645742,30989389.7648602,31012738.5650848,31029904.16525,31040984.69869,31046017.8987384,31045037.3653956,31038049.8986617,31025072.8318702,31006176.0316883,30981417.6314501,30950772.8311552,30914199.6308033,30871681.2303942,30823267.6299283,30769050.16274,30709108.6954965,30643541.2281989,30572452.8275149,30495951.6267787,30414149.2259916,30327169.2251546,30235140.1576024,30138208.5566697,30036536.5556914,29930303.0880025,29819683.7536047,29704863.2191665,29586042.0180232,"Brazil"
51602.3502745825,52227.6517481592,52843.7995689859,53449.3671937768,54041.2637787461,54618.5382950367,55180.5963496129,55726.843549439,56257.0421373007,56771.1921131979,57268.8179627022,57748.1365067062,58210.8120457102,58656.1313080711,59081.597843039,59491.0157660425,59881.0564760816,60252.1954875847,60605.5027080163,60940.8592587692,61258.859532879,61558.790258703,61840.8891934554,62108.9604525648,62358.6055275669,62593.2718980689,62813.4350784994,63017.0741325368,63205.4967248599,63379.1783698971,63538.1190676484,63680.1790031854,63804.8826620793,63912.943315973,64004.7176006881,64079.016730153,64136.0784615821,64177.8048526896,64202.0560885469,64210.9719840827,64203.6015104398,64181.2523322968,64143.9244496536,64092.8066485817,64027.1856574383,63949.2012911519,63859.0913069369,63757.8067336503,63645.1098140779,63523.2592417554,63391.8983808615,63253.0481677174,63106.7086023233,"Brunei Darussalam"
1082591.69835794,1075190.3158048,1067773.08710223,1060339.704558,1052858.62971937,1045306.63182358,1037655.09549399,1029881.09766006,1021985.71524456,1013979.40978304,1005866.95050495,997656.645100279,989360.801257901,980983.572822813,972542.190559448,964074.962149437,955632.195271072,947251.274529322,938950.969149724,930736.356053943,922626.819851961,914640.360538763,906789.285803228,899082.672565903,891520.059288455,884087.292128675,876762.986477135,869526.680801076,862374.375101613,855303.300148746,848299.7636386,841350.380959519,834440.844423182,827566.384800148,820722.386707088,813898.542454567,807084.85204537,800275.777019503,793469.471223633,786669.165426092,779875.321165212,773093.323054877,766330.094170082,759589.32681749,752881.482532647,746224.71515665,739643.793913367,733160.257258333,726785.335957652,720525.645394094,714399.339408757,708425.033381067,702619.03499879,"Bulgaria"
2150354.16515724,2212399.92487174,2275738.61984848,2340365.35095587,2406272.9328009,2473482.48608423,2542024.60316091,2611914.85238244,2683150.83861784,2755711.87664481,2829579.4586329,2904724.73414049,2981120.26803067,3058739.82273201,3137551.71719355,3217514.58097072,3298578.76953004,3380696.2713819,3463825.38947296,3547922.03161889,3632927.51711015,3718775.65323544,3805405.58189342,3892773.75524769,3980838.80285371,4069533.22556506,4158793.11693186,4248560.44946213,4338783.29236097,4429430.29118619,4520498.72419802,4612000.78479065,4703934.18670266,4796274.86975445,4888973.73376049,4981972.64235923,5075203.44318671,5168606.04022873,5262137.64773603,5355769.74187579,5449478.48020758,5543245.68150972,5637049.7896032,5730849.54291304,5824600.8492549,5918267.89053336,6011813.10673953,6105194.80082008,6198372.79989594,6291297.13282487,6383907.48585347,6476137.88400962,6567925.94501769,"Burkina Faso"
1396775.45604804,1441545.44399482,1486782.29188255,1532388.61788307,1578466.03781707,1625019.15926466,1672096.17502315,1719748.88923645,1767958.24893816,1816723.13336555,1866136.56582509,1916331.91708144,1967417.90111926,2019426.02382412,2072379.44762576,2126367.08636728,2181488.43887313,2237813.8641368,2295372.00387247,2354149.2843982,2414130.13956499,2475275.21814816,2537540.81040129,2600910.22941266,2665340.7616694,2730740.006511,2796991.03102616,2863989.47975194,2931683.79760283,3000026.53895667,3068937.1334262,3138328.03698944,3208126.52459821,3278285.77327633,3348775.14884254,3419564.88881995,3490632.95154157,3561964.39350435,3633533.68622392,3705331.98812766,3777388.81263406,3849747.24684359,3922441.16269647,3995462.09220765,4068797.45792872,4142470.42228941,4216508.25718278,4290923.16646964,4365704.93875625,4440819.45304399,4516220.758061,4591846.83826963,4667637.17248257,"Burundi"
42880.3742540855,43423.9201078958,43966.3035454235,44505.9746782913,45043.3984730126,45578.0324686553,46110.4191261513,46640.3259622441,47167.0555271642,47688.9029436967,48204.7832899777,48713.6116441435,49214.5355675867,49705.5402054171,50187.7104794986,50659.0315349413,51120.2008215146,51569.9784285171,52008.1318726921,52434.8936372963,52849.3337893034,53251.8398008077,53642.5666606468,54021.436874402,54387.2105313716,54741.0500478384,55083.4203903155,55414.8640197348,55734.8384751644,56043.0337789288,56340.1473807978,56624.7068868131,56896.3248248806,57154.3812396494,57399.8835585646,57632.909276045,57851.8310092949,58058.2761411099,58251.7022105583,58431.7992399645,58598.1797572344,58750.9212567867,58889.0938055954,59013.0073813357,59123.049456102,59218.2126024492,59298.4193259584,59363.9796043051,59414.6609542326,59449.9209148092,59471.0768911551,59477.0439614065,59469.1395306838,"Cabo Verde"
5726535.62833095,5810047.64810287,5892130.30130263,5972570.68104749,6051258.10395799,6128228.87700254,6203596.50351931,6277469.55191871,6349810.30525297,6420625.10842919,6490112.41604173,6558554.92895146,6626154.97919597,6692967.20347532,6758975.03453206,6824226.76415915,6888745.3045211,6952535.94304052,7015607.84458321,7077910.24989236,7139307.44845495,7199629.53775859,7258720.36258959,7316521.40880468,7372984.03211608,7427940.79747526,7481214.75247304,7532662.43170995,7582203.4663627,7629829.74904998,7675565.24942086,7719469.53910312,7761593.72984842,7801933.23922385,7840475.02492037,7877235.65419541,7912258.48391417,7945562.19630311,7977168.29354742,8007084.53053355,8035339.10684862,8061972.20690428,8087010.97280314,8110484.66161682,8132383.40348984,8152681.11380411,8171347.47800348,8188349.00907825,8203709.67667745,8217438.29317208,8229526.75118082,8239946.85111657,8248698.94547416,"Cambodia"
