"country","CODE","pop2018","pop2019","pop2020","pop2021","pop2022","pop2023","pop2024","pop2025","pop2026","pop2027","pop2028","pop2029","pop2030","pop2031","pop2032","pop2033","pop2034","pop2035","pop2036","pop2037","pop2038","pop2039","pop2040","pop2041","pop2042","pop2043","pop2044","pop2045","pop2046","pop2047","pop2048","pop2049","pop2050","pop2051","pop2052","pop2053","pop2054","pop2055","pop2056","pop2057","pop2058","pop2059","pop2060","pop2061","pop2062","pop2063","pop2064","pop2065","pop2066","pop2067","pop2068","pop2069","pop2070","Country.code","Continent","endemic","pop2015","HDI","Percent.Urban","urban_dogs_Knoble","rural_dogs_Knoble","total_dogs_Knoble","rural_HDR","urban_HDR","Business.Plan.Phase","cluster","gavi","gavi_2018","prop_urban","p_rabid","p_rabid_n","p_rabid_source","p_rabid_setting","p_seek","p_seek_n","p_receive","p_receive_n","p_complete","p_complete_n","vaccine_paid_by_patient","RIG_usage","RIG_paid_by_patient","ID","ID_prop","tot_dog_pop","dog_pop_setting","cost_first_visit","cost_followup_visit","ID_2015","price_per_vial","price_per_vial_RIG","exp_inc","bite_inc","LCI_exp_inc","UCI_exp_inc","LCI_bite_inc","UCI_bite_inc","vaccine_free_SQ","vaccine_gavi","preds_SQ","preds_SQ_LCI","preds_SQ_UCI","preds_gavi","preds_gavi_LCI","preds_gavi_UCI","p_seek_SQ","pseek_gavi","pseek_norm_SQ","pseek_norm_gavi","bite_inc_susp","bite_inc_non_susp","bite_inc_susp_LCI","bite_inc_susp_UCI"
"Cambodia","KHM",16245729,16482646,16715508,16943711,17166941,17385301,17599113,17808685,18013910,18214806,18411936,18606102,18797878,18987419,19174678,19359792,19542826,19723795,19902725,20079472,20253651,20424780,20592416,20756393,20916573,21072481,21223615,21369568,21510112,21645224,21774972,21899525,22019028,22133468,22242808,22347095,22446452,22540932,22630596,22715466,22795622,22871178,22942211,23008804,23070929,23128512,23181467,23229699,23273276,23312223,23346517,23376078,23400907,"KHM","Asia",1,15577899,0.523,21,430428,863615,1294042,14.3,7.5,"I","asia",TRUE,TRUE,0.20945,0.492,1000,"vet_test","mixed",0.76,1000,0.7535,1000,0.952,1000,TRUE,TRUE,TRUE,1,NA,5491129,"rural",3.02022340651932,2.21474982950221,TRUE,11,18.5,0.000353440333010837,0.0161868291315932,0.000214473705584835,0.000649806309084952,0.00269780485526554,0.0269780485526554,FALSE,TRUE,0.00208138354409116,0.000994707936341197,0.00435520548227284,0.00611931972231422,0.00323853918458459,0.0115626434418786,0.76,0.9,0.111990364281092,0.358391589572149,0.000353440333010837,0.00208138354409116,0.000214473705584835,0.000649806309084952
"Cameroon","CMR",24678234,25312993,25958184,26613765,27279608,27955755,28642234,29339083,30046222,30763659,31491572,32230190,32979644,33739916,34510776,35291925,36083001,36883632,37693541,38512499,39340228,40176449,41020839,41873089,42732805,43599435,44472363,45351038,46235002,47123910,48017458,48915384,49817390,50723131,51632155,52543939,53457903,54373521,55290408,56208250,57126770,58045717,58964821,59883731,60802097,61719785,62636676,63552600,64467271,65380248,66291024,67198981,68103572,"CMR","Africa",1,23344179,0.482,54,598811,1439106,2037917,7.4,21.2,"II","west africa",TRUE,TRUE,0.54938,0.7416,1000,"vet_test","country",0.523333333333333,1000,0.56,1000,0.544401544401544,1000,TRUE,TRUE,TRUE,0,0,2525606,NA,6.4194952123063,4.70914137433488,FALSE,15.5,83.3659371704296,0.000380854307473041,0.017442331910966,0.000231108979317266,0.000700207386434796,0.00290705531849434,0.0290705531849434,FALSE,TRUE,0.000581570644529138,0.000320431899217374,0.00105552666698952,0.0017098322532093,0.000643785424336652,0.00454115023981345,0.523333333333333,0.9,0.0219154693441298,0.0783761817778555,0.000380854307473041,0.000581570644529138,0.000231108979317266,0.000700207386434796
"Central African Republic","CAF",4737423,4825711,4920889,5022853,5132270,5247586,5366949,5488896,5612532,5737657,5864322,5992915,6123615,6256230,6390254,6525376,6661223,6797519,6934059,7070780,7207592,7344487,7481447,7618398,7755269,7892097,8028923,8165788,8302674,8439545,8576467,8713528,8850780,8988184,9125699,9263238,9400708,9538009,9675075,9811807,9948080,10083725,10218599,10352590,10485592,10617464,10748050,10877206,11004827,11130808,11255037,11377383,11497740,"CAF","Africa",1,4900274,0.343,40,92544,397074,489618,7.4,21.2,"III","east africa",TRUE,TRUE,0.40332,0.841463414634146,1000,"vet","mixed",0.660495295536791,1000,0.6532,1000,0.412872392638037,1000,FALSE,FALSE,NA,0,0,NA,NA,5.04564685722299,3.70105794218449,FALSE,21.2092467132088,167.691025010811,0.000477658110514835,0.0218757439264473,0.00028985120088608,0.000878182892014818,0.00364595732107454,0.0364595732107454,FALSE,TRUE,0.000429522259827596,0.000265989028092541,0.000693597675853075,0.00126280619600251,0.000480586534957714,0.00331819427442477,0.660495295536791,0.9,0.00521268329620979,0.0380747689925271,0.000477658110514835,0.000429522259827596,0.00028985120088608,0.000878182892014818
"Chad","TCD",15353184,15814345,16285093,16765714,17255546,17754220,18261067,18775565,19297583,19827182,20364197,20908510,21459963,22018360,22583505,23155184,23733187,24317309,24907304,25502961,26103996,26710161,27321154,27936751,28556669,29180610,29808240,30439253,31073358,31710307,32349847,32991754,33635795,34281678,34929121,35577867,36227662,36878236,37529284,38180514,38831582,39482205,40132054,40780799,41428087,42073511,42716670,43357148,43994610,44628705,45258994,45885021,46506378,"TCD","Africa",1,14037472,0.328,22,148791,1470691,1619481,7.4,21.2,"II","west africa",TRUE,TRUE,0.22618,0.7647,1000,"suspected","urban",0.59,1000,0.5,1000,0.36,1000,TRUE,FALSE,NA,0,0,1205361,"mixed",7.05390512581685,5.17452469045677,FALSE,8.053975,83.3659371704296,0.00048817803414324,0.0223575344589533,0.000296234872449066,0.000897523957836584,0.00372625574315888,0.0372625574315888,FALSE,TRUE,0.000685080320929007,0.00036220447959095,0.00129577372056311,0.0020141532929534,0.000813109234318169,0.00498926013417724,0.59,0.9,0.0177593500532654,0.0704367945900153,0.00048817803414324,0.000685080320929007,0.000296234872449066,0.000897523957836584
"Congo","COG",5399895,5542197,5686917,5834089,5984189,6137528,6294495,6455373,6620218,6788982,6961681,7138328,7318887,7503338,7691584,7883415,8078586,8276845,8478096,8682197,8888864,9097765,9308628,9521302,9735722,9951830,10169580,10388945,10609847,10832271,11056291,11282052,11509651,11739090,11970350,12203432,12438366,12675151,12913740,13154112,13396242,13640111,13885679,14132883,14381604,14631675,14882852,15134958,15387848,15641402,15895465,16149866,16404435,"COG","Africa",1,4620330,0.533,65,142489,216157,358646,7.4,21.2,"II","east africa",TRUE,FALSE,0.65798,0.759569173441734,1000,NA,NA,0.660495295536791,1000,0.542664406779661,1000,0.412872392638037,1000,NA,FALSE,NA,0,NA,NA,NA,25.2452026355,18.5177362618968,FALSE,21.2092467132088,167.691025010811,0.000308573156390424,0.0141320061424202,0.00018724752699074,0.000567317210598619,0.00235533435707003,0.0235533435707003,FALSE,TRUE,0.000548198427087376,0.000231403040697748,0.00129869302734706,0.00161171709853323,0.000492424856816149,0.00527518456826037,0.660495295536791,0.9,0.0243693149784878,0.0943957456809731,0.000308573156390424,0.000548198427087376,0.00018724752699074,0.000567317210598619
"Cuba","CUB",11489082,11492046,11495492,11499731,11504042,11508091,11511251,11513023,11513391,11512406,11509562,11504248,11496000,11484603,11470131,11452767,11432859,11410652,11386169,11359359,11330341,11299210,11266074,11230978,11193932,11154901,11113815,11070604,11025328,10977998,10928575,10876966,10823142,10767137,10709058,10649031,10587230,10523816,10458975,10392837,10325507,10257079,10187700,10117480,10046706,9975883,9905653,9836515,9768706,9702320,9637454,9574144,9512440,"CUB","Americas",1,11389562,0.776,77,1170452,348156,1518608,7.5,7.5,"I","americas",TRUE,FALSE,0.77184,0.609201552437567,1000,NA,NA,0.632,1000,0.382,1000,0.6549,1000,FALSE,FALSE,NA,0,NA,NA,NA,3.61610403937824,2.65108844651042,FALSE,41.3419256851083,130.718094034208,0.000571321798435411,0.0261653452271532,0.000346687946302035,0.001050385240356,0.0043608908711922,0.043608908711922,FALSE,TRUE,0.00144291683082466,0.000348521827319591,0.00597382665151668,0.00424221160275384,0.000951119307684813,0.018921242726473,0.632,0.9,0.0413463474233388,0.142479373071417,0.000571321798435411,0.00144291683082466,0.000346687946302035,0.001050385240356
"Dem. People's Republic of Korea","PRK",25610672,25727408,25840863,25950762,26056854,26158991,26257063,26350877,26440287,26524975,26604290,26677453,26743895,26803384,26855925,26901502,26940153,26971999,26997036,27015392,27027443,27033684,27034528,27030232,27020983,27007159,26989131,26967265,26941830,26913047,26881134,26846286,26808680,26768513,26725991,26681309,26634672,26586250,26536214,26484692,26431705,26377256,26321376,26264127,26205636,26146050,26085576,26024364,25962497,25900018,25836884,25773044,25708449,"PRK","Asia",1,25155317,0.766,61,2041773,688253,2730026,14.3,7.5,"III","asia",TRUE,TRUE,0.61048,0.437333333333333,1000,NA,NA,0.76,1000,0.7535,1000,0.752935142873257,1000,NA,FALSE,NA,0,NA,NA,NA,4.61613188838984,3.38405639773165,FALSE,13.3303857045048,40.7050716806503,0.000464108627547729,0.0212552059031219,0.000281629140330742,0.0008532719277175,0.00354253431718699,0.0354253431718699,FALSE,TRUE,0.00225206110475296,0.000702311338648618,0.00722155394685807,0.00662111602318305,0.00211387907482075,0.0207387347339955,0.76,0.9,0.0893587461101805,0.291854065618764,0.000464108627547729,0.00225206110475296,0.000281629140330742,0.0008532719277175
"Democratic Republic of the Congo","COD",84004989,86727573,89505201,92336045,95220379,98160404,101159625,104220558,107343095,110526199,113770328,117075937,120442943,123870684,127357745,130902180,134501533,138153309,141855797,145606856,149402912,153239842,157114000,161022796,164964224,168935876,172935478,176960865,181009643,185079729,189169665,193278289,197404202,201545747,205700770,209866710,214040750,218220444,222403206,226587511,230773102,234960366,239148828,243337060,247521949,251699336,255864141,260011999,264140161,268246746,272329389,276385914,280414206,"COD","Africa",1,77266814,0.286,42,1548762,6004467,7553229,7.4,21.2,"III","east africa",TRUE,TRUE,0.43015,0.6591,1000,"lab_testing","overall",0.660495295536791,1000,0.542664406779661,1000,0.412872392638037,1000,TRUE,FALSE,NA,0,NA,NA,NA,4.9254248708423,3.61287330683649,FALSE,33.9877401396264,114.896184666364,0.00041867134381152,0.0191742731986499,0.000254057010880775,0.000769734677206347,0.00319571219977499,0.0319571219977498,FALSE,TRUE,0.000290013918661312,0.000155704011277007,0.000540179230627892,0.000852648180700747,0.000273382059751995,0.00265931466282687,0.660495295536791,0.9,0.000703206090684397,0.0248167931238136,0.00041867134381152,0.000290013918661312,0.000254057010880775,0.000769734677206347
"Djibouti","DJI",971408,985690,999899,1014025,1028031,1041880,1055552,1069009,1082248,1095262,1108021,1120511,1132710,1144609,1156203,1167462,1178401,1189001,1199256,1209170,1218739,1227967,1236850,1245401,1253614,1261491,1269036,1276268,1283179,1289766,1296038,1301978,1307615,1312919,1317902,1322563,1326904,1330906,1334592,1337932,1340951,1343630,1345960,1347944,1349591,1350894,1351881,1352536,1352880,1352927,1352664,1352125,1351296,"DJI","Africa",1,887861,0.43,77,32391,27184,59576,7.4,21.2,"II","east africa",TRUE,TRUE,0.7743,0.759569173441734,1000,NA,NA,0.660495295536791,1000,0.542664406779661,1000,0.412872392638037,1000,TRUE,FALSE,NA,0,NA,NA,NA,5.66150380613322,4.15397632396164,FALSE,21.2092467132088,167.691025010811,0.000271702530140353,0.0124434084603146,0.000164873793433728,0.00049952991152861,0.00207390141005243,0.0207390141005243,FALSE,TRUE,0.000218533751712766,6.78672439851484e-05,0.000703682628516751,0.000642494700529196,0.000131257661771723,0.00314495500404406,0.660495295536791,0.9,0.00314025766286158,0.031981785752038,0.000271702530140353,0.000218533751712766,0.000164873793433728,0.00049952991152861
"Eritrea","ERI",5187948,5309659,5432216,5555141,5678798,5803376,5929298,6056880,6186016,6316482,6448451,6582129,6717687,6855107,6994250,7135034,7277273,7420805,7565543,7711344,7857969,8005125,8152540,8300073,8447599,8594901,8741756,8887988,9033461,9178086,9321828,9464689,9606664,9747675,9887684,10026695,10164756,10301880,10438046,10573202,10707355,10840490,10972592,11103618,11233513,11362223,11489663,11615750,11740447,11863684,11985320,12105203,12223199,"ERI","Africa",1,5222000,0.349,38,92863,439636,532499,7.4,21.2,"II","east africa",TRUE,TRUE,0.20954,0.759569173441734,1000,NA,NA,0.660495295536791,1000,0.542664406779661,1000,0.412872392638037,1000,NA,FALSE,NA,0,NA,NA,NA,9.73856510920995,7.14338414200178,FALSE,21.2092467132088,167.691025010811,0.00046931113304675,0.0214934697901307,0.000284786110626677,0.000862836826175791,0.00358224496502178,0.0358224496502178,FALSE,TRUE,0.000808469755351425,0.000422189687089136,0.00154817458906805,0.00237692131892816,0.000999021162586323,0.00565529056636673,0.660495295536791,0.9,0.0231927168902204,0.0909365178480192,0.00046931113304675,0.000808469755351425,0.000284786110626677,0.000862836826175791
