"scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a3_1",454536.885074422,709455.940844277,577555.715493935,44875.0068674722,70042.3689759373,57020.2717319511,65992465.4512018,81813409.2031602,73869671.2452053,1144220805.76111,1305637076.96826,1186681539.50065,1090350.97621982,1711142.91580199,1391130.46211017,107646.946051052,168935.795134136,137341.965175219,9370872.45379082,14618947.6990208,11899675.2294944,21059697.9175213,32965660.0564654,26856988.4310753,2490390.87409153,3898247.12347336,3175886.17808259,40403953.9475038,50142871.124706,45245312.8800095,31378735.5719069,39017612.3648688,35174158.8721108,0,0,0,668.688041889728,1197.44660705017,853.033969007197,34.7094765826387,61.99695181202,44.1852049996636,0.00000021744885200293,0.000000423508777884772,0.000000307463994292502
"a4",453563.740818339,712714.612374761,577323.063955092,44778.9313747922,70364.0874373232,56997.3027722338,66073363.1513206,81624273.994917,73843909.1248079,1214601905.95428,1385054313.76611,1261299917.60581,1089799.00522334,1717321.31895156,1390207.224485,107592.451678711,169545.769578171,137250.81680832,9330711.81903106,14718428.906304,11894708.2420204,21023130.6684579,33167097.2938201,26834497.5409868,2486056.06122646,3921997.7641395,3173242.93925071,40459209.7864458,49994007.7997759,45227088.9324365,31414711.9640829,38898715.0207524,35159904.1173209,1933012.8618707,2379828.85505655,2157078.91439646,707.265374598511,1270.92638837771,907.274754001554,36.6206875203576,65.8824004668431,47.0029265753649,0.000000217985925350883,0.000000424457454314117,0.000000307383751043936
