"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","a1",25957.6678874177,40381.9479502131,32617.7390130656,2562.71946889571,3986.78358367113,3220.24748766666,341831.655332806,419977.063606702,380187.626574172,17449560.9700362,19950534.578685,18084123.2978195,8086.20565829903,12790.2403095837,10290.5924101872,798.325826491613,1262.74047404363,1015.9580448612,570117.819319398,886921.867144609,716259.985296729,177515.273712634,281428.594876449,225971.370617104,20021.8907207113,31742.2408475185,25487.2383309911,103529.220689345,126518.029820366,114862.591986748,67219.0139637109,83537.0237814665,75231.2213003387,0,0,0,1364.28718676703,2467.23066685911,1757.34521172144,62.0035109712174,112.387707048699,80.0283825709144,6.3913464901248e-07,1.23542321910862e-06,8.95904596282704e-07
"americas","a3_1",14986.357299948,23488.706999054,18979.6474401238,1479.55624468947,2318.96667245829,1873.80130674831,350049.880563869,395699.488438044,372630.707591826,6163462.06039064,6733114.03347799,6312302.75626436,18748.451659086,29199.3176042134,23725.323468802,1850.97606945188,2882.75741978572,2342.32707741896,344285.616453308,541826.135533531,437202.647534786,395590.883947181,615612.170719654,500477.937936031,44618.568773535,69434.6990583017,56448.7459130058,296152.934155711,335102.815319059,315301.037706389,234745.908934176,265628.557455394,249939.067757618,0,0,0,211.082400757929,359.12907134467,266.057605687224,10.0119236648384,17.0203973516665,12.6125494807949,5.5948356152231e-07,9.85954020258364e-07,7.52465759116698e-07
"asia","a1",358135.251727523,576509.63019132,462303.915355691,35357.5747282315,56916.9949975863,45641.821505969,52776956.928289,66359758.3604647,59667987.7883062,631174871.86343,727550106.862724,657427228.04248,436414.487741305,698402.792175209,560065.864482851,43085.8391860737,68951.1261335651,55293.5533730989,7847409.34047357,12659336.2618754,10151360.5515335,9566268.91263464,15343836.6584356,12301530.6393243,1078976.3988634,1730626.40969681,1387485.69070596,21276191.6393494,27130800.5574581,24249468.3694046,15902714.3563377,20519553.6190163,18228554.5462286,0,0,0,903.74047603333,1667.10805277848,1173.83913166986,41.1354008722733,76.0536959087375,53.4427176030343,1.6085573546459e-07,3.28255546863726e-07,2.30960058979884e-07
"asia","a3_1",182451.270099052,289790.837351613,235305.719921784,18012.8439902813,28610.144178189,23230.9987245956,54865315.4139021,68783453.7377063,61867617.872232,658004674.317553,758919777.488675,685897516.087821,609700.76744095,972211.631453262,783621.835189003,60193.8523020765,95983.4175634794,77364.5360592684,4183062.87101866,6666768.305567,5401542.37737032,13181855.6156596,20967171.8774844,16973374.044082,1486777.26210862,2364880.58336293,1914421.40816856,33410048.0795571,41901780.2562972,37695750.9127791,26604006.656713,33371568.54337,30021012.9091102,0,0,0,676.812180629816,1244.74138465338,875.291480261507,31.3826146016455,57.5730610026635,40.4102044947845,1.45507127313361e-07,2.90993784007194e-07,2.07880680504855e-07
"east africa","a1",275155.060792605,426909.092663357,347322.75419421,27165.199674975,42147.4012211743,34290.0906207922,8924430.1890828,10666121.7237641,9773994.63432342,145980758.303334,164921075.430952,150934265.608352,157494.351756305,248818.192733068,200999.687998612,15548.9253979797,24565.0429575594,19844.0713514826,5983796.29335809,9273604.72268886,7551643.88790959,3423555.76489116,5409376.91443217,4370773.19837338,386141.755395516,610121.885191849,492978.105560149,1964922.13976534,2361448.52187212,2159970.41429838,852975.244192555,1061310.78918992,952665.307217418,0,0,0,586.696481876397,1047.15549219275,750.917909929263,26.9866124347628,48.1724519057733,34.532623578941,6.66939593633175e-07,1.26630051999304e-06,9.30566857157176e-07
"east africa","a3_1",156128.940299698,242114.723646894,198980.258413036,15414.1225898817,23903.230393704,19644.699376409,6999801.05448376,8120333.17822448,7558208.06977337,107814794.655371,118528461.517771,110738870.713328,273039.412404929,424479.196396446,348515.753747305,26956.3283181202,41907.5051527903,34407.871740204,3573321.55315719,5538599.15232095,4555717.44341292,5764493.62834369,8941928.60945636,7348984.35401512,650175.385323588,1008557.25654775,828889.585481544,4078728.75459768,4746500.83126536,4410577.88140443,2729786.71916474,3178057.06164337,2952769.48075118,0,0,0,253.993118085996,434.107517569616,317.744232570963,12.0572193499011,20.5618167283546,15.0685952478353,5.7524357860934e-07,1.04071445280091e-06,7.90181611386328e-07
"west africa","a1",182353.261136358,284028.334666419,230621.138500055,18003.1678715363,28041.2302878904,22768.5046336333,3451114.65538313,4025966.43212378,3728880.48948944,87506360.246505,96615199.1648683,89778870.7633683,99127.771008565,155120.346040085,125758.065364597,9786.57519518625,15314.5472290851,12415.7009743055,3965108.87468806,6172332.95661368,5009597.21433378,2154291.79133076,3370122.76117843,2731514.7554735,242981.879386755,380115.064064451,308086.672162276,1206267.18957335,1397176.60987943,1298599.82168266,510362.51024081,625054.434998524,565840.423062053,0,0,0,564.119166056349,974.653199419973,713.901494135441,25.9653331488455,44.8477776101011,32.8677963695661,7.0948633342151e-07,1.28595345526185e-06,9.68412772470935e-07
"west africa","a3_1",97123.4799208986,151414.938204674,123657.843023067,9588.69779672449,14948.7238877437,12208.3525828016,3762628.89851616,4248715.22352992,4009939.73282302,78806086.7429883,85016058.6287934,80398286.7140433,183979.207857637,284613.714695923,232755.62338468,18163.6925125049,28099.0230297044,22979.2356589941,2233236.45058811,3493100.52739127,2851335.141149,3864464.88368087,5972182.37567688,4892138.31449508,435871.753324953,673600.532445059,551782.709593705,2611965.87029269,2955325.15391429,2786705.18644682,1795634.16139546,2041655.52258723,1921338.02821781,0,0,0,276.887875298573,462.096014102739,345.419309509732,13.1955258205015,21.9994387807236,16.4341810360979,6.22534571581606e-07,1.08965326818773e-06,8.35235906965294e-07
