NUM,CODE,Country,Continent,Cluster,Pop_2010,HDI,RISK (endemic/ rabies-free),Dog vaccination coverage,RP,PP,"Bite Incidence (/100,000)",Deaths,"Per capita death rate from rabies (/100,000)",Exposures,PEP,prevented deaths,"YLL (no TD or AW, GBD 2010 lifetable)","YLL (TD & AW, Country-specific lifetable  (comparable to Knobel et al. 2005) ","YLL (TD & AW, Standard West lifetable  (comparable to Knobel et al. 2005) ","DALYs from NTVs (no TD or AW, GBD 2010 lifetable)","DALYs from NTVs (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",DALYs due to Anxiety,"DALY total (no TD or AW, GBD 2010 lifetable)","DALYs total (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",Direct costs,Travel costs,Lost income,Productivity losses from premature death,Dog vaccination,Dog population management,Livestock losses,Surveillance,deaths Lower,deaths Upper,Exposures lower,Exposures upper,PEP lower,PEP upper,Prevented deaths Lower,Prevented deaths Upper,YLL rabies lower,YLL rabies upper,DALY ntv lower,DALY ntv upper,Direct costs lower,Direct costs upper,Travel costs lower,Travel costs upper,Lost Income lower,Lost Income Upper,Premature death lower,Premature death upper,Livestock losses lower,Livestock losses upper
93,BRN,Brunei Darussalam,Asia,Asia 1,408000,0.838,0,70.00%,0,0.999,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
94,KHM,Cambodia,Asia,Asia 2,15055000,0.523,1,0.60%,0.735,0.967,650,446,2.963413,"71,900","94,662","13,215","27,861","12,107","13,284",NA,NA,1681,27861,12107,"6,298,005","563,717","1,055,280","22,673,517","81,588","6,000","4,211,172",29,143,"1,057","25,613","128,105","35,068","166,228","4,740","26,881","8,398","66,276",NA,NA,"2,303,529","11,282,746","219,983","1,035,251","385,846","1,921,495","7,598,628","52,382,561","34,472,685","889,289"
95,CHN,China,Asia,China,1354148000,0.687,1,14.20%,0.555,0.996,1107.71,"6,002",0.443264,"8,318,530","14,943,066","1,574,518","374,851","172,882","178,730",NA,NA,265291,374851,172882,"648,271,995","49,249,922","807,319,086","1,642,646,221","4,235,400","195,000","40,777,492","46,192",992,"10,742","1,514,396","10,993,201","3,811,379","19,223,082","312,882","2,345,367","59,609","674,121",NA,NA,"160,478,423","843,437,713","20,374,306","100,881,841","201,867,768","1,063,763,651","278,596,344","2,967,061,123","162,525,752","18,162,053"
96,PRK,Democratic People's Republic of Korea,Asia,Asia 2,23990000,0.766,1,0.60%,0.735,0.999,587.265,26,0.109153,"103,514","140,697","19,641","1,635",730,780,NA,NA,2498,1635,730,"12,436,677","611,213","1,568,482","1,330,798","229,467","9,561","1,332,336",46,8,82,"39,659","203,355","55,937","272,699","7,527","44,074",459,"4,923",NA,NA,"4,835,315","24,518,441","333,650","1,609,205","614,562","3,147,384","421,693","4,029,322","10,906,513","281,355"
97,IND,India,Asia,India,1214465000,0.547,1,15.00%,0.545,0.976,692.5594458,"20,847",1.716531,"4,581,603","8,209,470","849,658","1,301,865","568,063","620,734",NA,NA,145746,1301865,568063,"491,232,969","42,601,573","138,031,524","1,646,649,893","9,050,000","416,705","62,348,058","1,552","6,535","55,421","1,553,484","9,619,080","2,831,952","16,148,521","293,353","1,973,526","377,344","3,435,815",NA,NA,"165,974,520","987,437,552","17,046,350","96,465,916","46,810,531","282,554,094","509,737,936","4,202,160,765","237,368,837","29,120,753"
98,IDN,Indonesia,Asia,Indonesia,232517000,0.617,1,23.80%,0.442,0.99,105.4,197,0.084786,"108,322","242,725","20,384","12,311","5,514","5,870",NA,NA,4309,12311,5514,"21,179,184","950,823","10,026,137","37,123,383","6,368,640","810,787","1,717,431",105,192,"3,060","118,000","1,427,993","270,692","3,012,790","22,248","292,709","11,642","197,569",NA,NA,"23,378,617","268,664,427","1,579,082","17,523,062","11,088,925","130,304,874","36,735,459","558,276,650","3,830,929","1,396,375"
99,IRN,Iran (Islamic Republic of),Asia,Middle East,75077000,0.707,1,18.18%,0.506,0.997,173.86,37,0.048736,"66,100","130,149","12,522","2,285","1,044","1,089",NA,NA,2311,2285,1044,"16,439,705","119,028","8,452,265","10,832,741","200,000","19,569","5,390,188","3,200",10,63,"23,059","74,977","47,151","136,229","4,212","16,579",618,"3,925",NA,NA,"5,868,218","17,301,171","247,034","707,118","3,031,309","8,952,024","2,984,336","19,467,000","17,027,657","3,055,091"
100,IRQ,Iraq,Asia,Middle East,31467000,0.573,1,18.50%,0.503,0.983,46,24,0.074975,"7,276","14,228","1,359","1,473",604,702,NA,NA,253,1473,604,"4,065,390","49,679","499,636","3,776,939","82,020","8,202","720,278","5,246",17,111,"6,634","27,669","14,035","50,845","1,122","5,670","1,063","7,033",NA,NA,"4,008,171","14,784,163","80,434","291,197","494,364","1,854,411","2,856,513","17,199,464","2,232,409","416,393"
101,ISR,Israel,Asia,Middle East,7284000,0.888,1,63.18%,0.11,1,90.22,0,0.000496,723,"6,570",137,2,1,1,NA,NA,117,2,1,"1,850,095","43,388","2,581,664","64,749","65,000","75,000",102,672,0,0,373,"1,558","3,969","12,296",68,335,1,10,NA,NA,"1,105,383","3,514,640","25,291","78,081","1,548,516","4,983,944","16,740","286,647",6,"3,304"
102,JPN,Japan,Asia,Asia 1,126996000,0.901,0,70.00%,0,1,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,"20,000,000",0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
