"scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"a1",839108.008219928,1324061.37782881,1069563.53169642,82842.5126054508,130720.443981778,105594.666585124,65581881.3928737,81473008.2123873,73405213.0542945,1101239610.58872,1260922631.14058,1143420273.20262,697607.926351491,1108132.4194119,894150.945973453,68872.6515136402,109402.452395113,88276.7299171897,40700822.5989449,64276673.4493353,51903138.9420348,34332403.9938581,54552872.7263327,44012852.1321275,4806920.60940175,7637818.61112842,6162167.11489725,24549508.3084164,30979235.6877574,27755957.5882293,17329755.7429842,22259559.3759802,19764478.438282,0,0,0,993.779796798263,1807.49470226814,1278.77768105226,20.1866474770842,36.7268960066458,25.9792360142907,2.25185648020095e-07,4.51386808033133e-07,3.22147395971178e-07
"a3_1",455152.640914046,712298.932509614,577708.268485312,44935.7985181372,70323.048662659,57035.3328122737,65817535.7130644,81764484.6299056,73792311.3892326,1065710977.04432,1217590469.35432,1106787481.72941,1096039.03137607,1716119.98766692,1390970.6607555,108208.509969363,169427.165892929,137326.188486629,22041362.6703387,34512255.0760818,27986159.4055999,53697411.2919488,84115133.1623461,68164936.8534257,7511504.36429052,11767313.7622387,9535541.26443878,40297767.1236827,50085553.7551296,45193022.2441751,31286077.9673623,38973689.6808596,35132245.6176784,0,0,0,621.000270787107,1110.90064723849,795.694339899494,12.6696699746935,22.6750310687116,16.2369032059595,2.18833365951119e-07,4.25859820570149e-07,3.07784386102831e-07
"a4",453255.366608551,709756.285532107,576674.989265509,44748.4865523006,70072.0210688072,56933.3203824638,65920958.1536271,81696516.0337801,73810044.1240021,1107708095.62293,1264313092.08685,1150222165.55887,1089262.72910327,1712201.31427814,1388318.57108692,107539.506812494,169040.287509662,137064.355957744,21956224.8321515,34385080.4677875,27935048.5318224,53373642.7039016,83916852.7273494,68034642.7287871,7466218.13741093,11739242.721336,9517346.66091333,40383503.5170724,50040859.9503959,45208365.8615855,31362167.0770084,38931559.8021367,35144411.849256,1931889.17543227,2380478.96160222,2156732.94359084,646.949681901125,1160.70536364325,828.500165245472,13.2000672048789,23.6879670945604,16.9064188393568,2.17674662302572e-07,4.23985331920075e-07,3.07093287852417e-07
