"year","country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2020,"Afghanistan","a3_1","asia",269.098659484695,524.968668336978,392.587278459592,26.5672700916803,51.8285168275671,38.7589157127961,21602.9906200647,35043.5395565793,28663.5940682274,597943.471842623,789758.011998088,645976.501075028,356.54399933475,693.682190673478,519.889057167666,35.2004753499448,68.4850758926169,51.3270226835448,12915.1857698616,25195.4725003547,18841.9282425983,17112.0584374357,33292.7498596554,24951.6804204686,2414.78287706961,4698.13509494448,3521.07789099449,6161.94806404958,9995.67488251134,8175.88550972985,4639.54724598276,7526.0948957783,6155.91152438383,0,0,0,TRUE,1,861.984753078489,2215.03661111011,1242.52759731909,17.9601707387716,46.1521338818217,25.8890980563023,3.56698275529716e-07,1.12575144006909e-06,6.35881038878251e-07
2020,"Afghanistan","a4","asia",269.277377691331,525.17282336968,388.226960961814,26.5849143819755,51.8486724162451,38.3284351861714,22250.7559614842,34822.8452118412,28615.4821613875,595947.174391252,784784.338414741,644892.228071214,356.825435263149,695.020496755816,514.212661461786,35.2282606400597,68.6172026717799,50.7666098663492,12923.7632144448,25205.2707660846,18632.6581161427,17125.5657410564,33356.9808435756,24679.2461200337,2416.68897186341,4707.19910560779,3482.63308984904,6346.71398195962,9932.72493663476,8162.16226759066,4778.66399878246,7478.69766928585,6145.57881310308,0,0,0,TRUE,1,857.452660997749,2199.35088942296,1254.13525648695,17.8657408230646,45.8253087974383,26.1309533092956,3.59242239707126e-07,1.09508715648979e-06,6.299956366998e-07
2020,"Afghanistan","a2","asia",268.27460170317,529.169072815458,388.78501698497,26.4859134409455,52.2432096413023,38.3835303141884,22433.9399000181,34733.1538370359,28491.0874716285,587330.476840428,784791.160511113,642085.722715409,356.725147773113,703.052534572433,515.121098213478,35.2183595694274,69.4101806764616,50.8562969892417,12875.635742545,25397.0677229099,18659.4415911064,17120.7525191448,33742.472397903,24722.845851934,2416.00974990433,4761.59807859214,3488.78570359931,6442.74029628373,9942.36314127971,8126.62504825821,4775.22251390414,7499.70615717586,6118.91868755605,0,0,0,TRUE,1,835.400553953791,2199.9883254944,1246.47529472636,17.4062667938028,45.8385903092484,25.9713516219323,3.5879311860178e-07,1.09123215004951e-06,6.33868420352289e-07
2020,"Afghanistan","a5_1","asia",267.679091342111,544.07738590188,394.239850846096,26.4271205631402,53.71506082457,38.9220690225241,22434.8398401167,34822.1883665848,28720.6143441795,599147.539746072,784769.535435062,647261.537357017,354.978506105219,724.698375586294,522.048018946822,35.0459190933834,71.5472069465962,51.5401702362464,12847.0546750819,26112.5808859821,18921.2421990881,17036.9237789443,34781.3480964079,25055.298151234,2404.18018497019,4908.19991830216,3535.69999639041,6399.22130927888,9932.53758079929,8192.14973838198,4818.19861077949,7478.5566024931,6168.15743370775,0,0,0,TRUE,1,826.754357302582,2210.75226228613,1239.85057670136,17.2261160805308,46.0628659033473,25.8333201006087,3.57389542418074e-07,1.13247900105514e-06,6.37254000010418e-07
2020,"Afghanistan","a5_2","asia",270.283026773636,547.972055929167,392.949147246517,26.6841989746161,54.0995694309341,38.7946418877923,21358.7430767842,34644.6346501672,27998.8496157822,579269.879402578,780768.099738922,630995.501327493,357.553995744428,726.428116991022,520.370129519238,35.3001891406376,71.7179789124476,51.3745174541331,12972.028578316,26299.5026157709,18859.2958601717,17160.5324479821,34864.3657213142,24974.7691225869,2421.62332885268,4919.91502200237,3524.33607309649,6092.27990083387,9881.8928900532,7986.27654012598,4587.09163755822,7440.42443503043,6013.1482677651,0,0,0,TRUE,1,797.422161743964,2183.63690248619,1212.58978087474,16.6149553395845,45.4978947830219,25.265318699456,3.61827435009269e-07,1.19237482324408e-06,6.51580404090326e-07
2020,"Angola","a3_1","west africa",556.249365419267,1096.52030529919,808.829282311284,54.9167623418057,108.256024640481,79.8531885754192,11092.0061551762,17014.2978762833,14242.2639324842,683238.143824622,876477.276593271,733678.274286402,306.929676777326,602.827163074601,447.231259869176,30.3022082596407,59.5152428134457,44.1537453108817,26624.3808959979,52483.9686719943,38713.893859206,14690.9158568579,28853.7857334085,21406.3262838583,2012.10571267771,3951.88888645552,2931.865638798,3901.33097759598,5984.34642373627,5009.35400626054,1644.67209999214,2522.8025144054,2111.77795998158,0,0,0,FALSE,1,1133.38977683073,2855.62896946308,1640.48969765892,23.6793240976185,59.6611732810465,34.2738994331615,5.12887548688562e-07,1.54518334008684e-06,8.92792282817784e-07
2020,"Angola","a4","west africa",566.652170925013,1095.15923387791,815.475048195944,55.9437988350814,108.121650310513,80.5093042824314,11292.4633480425,17337.0273897046,14288.5162701766,677616.632868731,893102.416640572,736060.924647378,313.8076673415,605.925977838341,450.862381614585,30.981250783882,59.8211791155813,44.512234618598,27122.3019245697,52418.8221995671,39031.987529525,15020.1247548161,29002.1077445874,21580.1266950402,2057.19501212645,3972.2034515185,2955.66979121519,3971.83669543189,6097.85831964405,5025.6220893558,1674.39497858936,2570.65537520824,2118.63604573251,0,0,0,FALSE,1,1118.31586307976,2846.0184679575,1632.56229542032,23.3643926447102,59.4603860633185,34.1082763344735,5.14619479318794e-07,1.52555612000673e-06,8.97127506999593e-07
2020,"Angola","a2","west africa",553.479058140155,1108.48287031452,809.393180533552,54.6432585574982,109.437051318057,79.9088604855056,10960.0711713183,17765.7535417671,14301.6483668893,677170.084593344,910650.06851424,736727.810047437,305.239537816016,615.936720306454,447.652838204453,30.1353461193254,60.8095084498034,44.1953664230772,26491.7826032475,53056.5462015367,38740.8843458288,14610.0188594489,29481.2630247411,21426.5047557338,2001.02585133951,4037.82979407269,2934.62933433131,3860.81632500309,6175.40833639641,5030.10274523993,1606.15896573253,2660.61780244252,2120.7214382047,0,0,0,FALSE,1,1099.41502473894,2983.39486106527,1645.75704021552,22.9695072434669,62.3305197121828,34.3839472861427,4.94282355414468e-07,1.59535359482806e-06,8.89947702615167e-07
2020,"Angola","a5_1","west africa",564.433620223138,1099.87934885023,810.733263191747,55.7247682541723,108.587652517933,80.0411626604537,11295.3190387584,17327.3602868724,14293.5033309105,675871.242205885,892604.423950862,736317.82889591,311.423058506944,607.276968373331,448.380409499819,30.7458258022341,59.9545581911333,44.2671972644198,27016.1129694069,52644.7463025121,38805.0262097876,14905.9875748998,29066.7717043626,21461.3293083555,2041.5624896904,3981.05999416947,2939.39899484494,3972.84111199067,6094.45816215988,5027.37616109502,1674.81840738852,2569.2219812763,2119.37550436021,0,0,0,FALSE,1,1112.95385368606,2866.21173213787,1642.1721674176,23.2523669666571,59.8822734465389,34.3090504002117,5.10993840995662e-07,1.52857099303688e-06,8.91877582126571e-07
2020,"Angola","a5_2","west africa",557.686198680568,1096.6723843228,813.458325787225,55.0586164015873,108.271038927446,80.3101995784727,10524.1146410262,16696.836780366,13701.0977380301,655380.7625646,860123.534652394,705800.551929098,307.629737159075,607.904318433256,449.853688950332,30.3713230344153,60.0164945029529,44.4126495426187,26693.1536414806,52491.2477991314,38935.4589060168,14724.4236240799,29096.799256732,21531.8465182532,2016.695022868,3985.17264516066,2949.05721372385,3701.58958500458,5872.6875596537,4819.01256496353,1560.46773550854,2475.7308305293,2031.53630405153,0,0,0,FALSE,1,1078.09854724129,2795.97005996733,1568.95579444059,22.5241531476342,58.414750662686,32.779378737015,5.23831268110602e-07,1.6422790924632e-06,9.33497646843626e-07
